year,unit_id,name,unit_type,area_km2,special_status_code,reason
1939,urban_1939_5,Белово,город,28.24,,city_area_lt_50_km2
1939,urban_1939_6,Бийск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_7,Гурьевск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_8,Ишим,город,28.24,,city_area_lt_50_km2
1939,urban_1939_9,Каинск / Куйбышев,город,28.24,,city_area_lt_50_km2
1939,urban_1939_10,Камень-на-Оби,город,28.24,,city_area_lt_50_km2
1939,urban_1939_11,Киселёвск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_12,Колпашево,город,28.24,,city_area_lt_50_km2
1939,urban_1939_13,Кузнецк / Сталинск / Новокузнецк,город,28.24,,city_area_lt_50_km2
1939,urban_1939_14,Ленинск-Кузнецкий,город,28.24,,city_area_lt_50_km2
1939,urban_1939_15,Мариинск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_16,Ново-Николаевск / Новосибирск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_17,Обдорск / Салехард,город,28.24,,city_area_lt_50_km2
1939,urban_1939_18,Ойрот-Тура / Горно-Алтайск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_19,Омск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_20,Осинники,город,17.21,,city_area_lt_50_km2
1939,urban_1939_21,Прокопьевск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_22,Рубцовск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_23,Славгород,город,28.24,,city_area_lt_50_km2
1939,urban_1939_24,Тайга,город,28.24,,city_area_lt_50_km2
1939,urban_1939_25,Тара,город,28.24,,city_area_lt_50_km2
1939,urban_1939_26,Татарск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_27,Тобольск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_28,Томск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_29,Топки,город,27.23,,city_area_lt_50_km2
1939,urban_1939_30,Тюкалинск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_31,Тюмень,город,28.24,,city_area_lt_50_km2
1939,urban_1939_32,Черепаново,город,28.24,,city_area_lt_50_km2
1939,urban_1939_33,Щегловск / Кемерово,город,28.24,,city_area_lt_50_km2
1939,urban_1939_34,Ялуторовск,город,28.24,,city_area_lt_50_km2
1947,adm_1947_u_2,Беловский горсовет,горсовет,5.25,,city_area_lt_50_km2
1947,adm_1947_u_3,Сталинский горсовет,горсовет,46.19,,city_area_lt_50_km2
1947,adm_1947_u_4,Ленинск-Кузнецкий горсовет,горсовет,4.6,,city_area_lt_50_km2
1947,adm_1947_u_5,Новосибирский горсовет,горсовет,29.51,,city_area_lt_50_km2
1947,adm_1947_u_6,Омский горсовет,горсовет,11.56,,city_area_lt_50_km2
1947,adm_1947_u_7,Кемеровский горсовет,горсовет,22.75,,city_area_lt_50_km2
1947,adm_1947_u_8,Тобольский горсовет,горсовет,2.94,,city_area_lt_50_km2
1947,adm_1947_u_10,Змеиногорский горсовет - г. Змеиногорск,горсовет,25.25,,city_area_lt_50_km2
1947,adm_1947_u_11,Рубцовский горсовет - г. Рубцовск,горсовет,12,,city_area_lt_50_km2
1947,adm_1947_u_12,Горно-Алтайский горсовет - г. Горно-Алтайск,горсовет,8.4,,city_area_lt_50_km2
1947,adm_1947_u_13,Бийский горсовет - г. Бийск,горсовет,5.39,,city_area_lt_50_km2
1947,adm_1947_u_14,Славгородский горсовет - г. Славгород,горсовет,7.22,,city_area_lt_50_km2
1947,adm_1947_u_15,Чесноковский горсовет - г. Чесноковка,горсовет,25.25,,city_area_lt_50_km2
1947,adm_1947_u_16,Камень-на-Обский горсовет - г. Камень-на-Оби,горсовет,1.58,,city_area_lt_50_km2
1947,adm_1947_u_17,Киселевский горсовет - г. Киселевск,горсовет,4.58,,city_area_lt_50_km2
1947,adm_1947_u_18,Прокопьевский горсовет - г. Прокопьевск,горсовет,5.47,,city_area_lt_50_km2
1947,adm_1947_u_19,Осинниковский горсовет,горсовет,2.77,,city_area_lt_50_km2
1947,adm_1947_u_20,Междуреченский горсовет - г. Междуреченск,горсовет,15.98,,city_area_lt_50_km2
1947,adm_1947_u_21,Гурьевский горсовет - г. Гурьевск,горсовет,1.88,,city_area_lt_50_km2
1947,adm_1947_u_22,Бердский горсовет - г. Бердск,горсовет,1.63,,city_area_lt_50_km2
1947,adm_1947_u_23,Искитимский горсовет - г. Искитим,горсовет,13.21,,city_area_lt_50_km2
1947,adm_1947_u_24,Барабинский горсовет - г. Барабинск,горсовет,2.3,,city_area_lt_50_km2
1947,adm_1947_u_25,Татарский горсовет - г. Татарск,горсовет,7.99,,city_area_lt_50_km2
1947,adm_1947_u_26,Юргинский горсовет - г. Юрга,горсовет,2.73,,city_area_lt_50_km2
1947,adm_1947_u_27,Куйбышевский горсовет - г. Куйбышев,горсовет,1.23,,city_area_lt_50_km2
1947,adm_1947_u_28,Тайгинский горсовет - г. Тайга,горсовет,2.41,,city_area_lt_50_km2
1947,adm_1947_u_29,Ишимский горсовет - г. Ишим,горсовет,0.83,,city_area_lt_50_km2
1947,adm_1947_u_30,Анжеро-Судженский горсовет - г. Анжеро-Судженск,горсовет,29.3,,city_area_lt_50_km2
