year,unit_id,name,unit_type,admin_parent,origin_year,age_years,age_class_10,basis,confidence,predecessor_year,predecessor_id,predecessor_name,distance_km,name_similarity,overlap_iou
1989,adm_1989_2,Усть-Коксинский муниципальный район,муниципальный район,Республика Алтай,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_2,Усть-Коксинский,0.0,1.0,0.0
1989,adm_1989_20,Алтайский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_20,Алтайский,0.0,1.0,0.0
1989,adm_1989_200+adm_1989_236,Кондинский муниципальный район,муниципальный район,Ханты-Мансийский автономный округ,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_233,Кондинский,0.0,1.0,0.0
1989,adm_1989_201,Советский муниципальный район,муниципальный район,Ханты-Мансийский автономный округ,1970,19,10–19 лет,name+centroid,high,1979,adm_1979_234,Советский,0.0,1.0,0.0
1989,adm_1989_202+adm_1989_227+adm_1989_228+adm_1989_229+adm_1989_230,Нижневартовский муниципальный район,муниципальный район,Ханты-Мансийский автономный округ,1939,50,50–59 лет,name+centroid,high,1979,adm_1979_235,Нижневартовский,0.0,1.0,0.0
1989,adm_1989_203+adm_1989_234,Ханты-Мансийский муниципальный район,муниципальный район,Ханты-Мансийский автономный округ,1939,50,50–59 лет,name+centroid,high,1979,adm_1979_236,Ханты-Мансийский,0.0,1.0,0.0
1989,adm_1989_204+adm_1989_231+adm_1989_232,Сургутский муниципальный район,муниципальный район,Ханты-Мансийский автономный округ,1939,50,50–59 лет,name+centroid,high,1979,adm_1979_237,Сургутский,0.0,1.0,0.0
1989,adm_1989_205+adm_1989_235,Октябрьский муниципальный район,муниципальный район,Ханты-Мансийский автономный округ,1959,30,30–39 лет,name+centroid,high,1979,adm_1979_238,Октябрьский,0.0,1.0,0.0
1989,adm_1989_206+adm_1989_225,Белоярский муниципальный район,муниципальный район,Ханты-Мансийский автономный округ,1989,0,0–9 лет,new_or_unmatched,low,,,,,,
1989,adm_1989_207,Березовский муниципальный район,муниципальный район,Ханты-Мансийский автономный округ,1989,0,0–9 лет,new_or_unmatched,low,,,,,,
1989,adm_1989_208,Шурышкарский муниципальный район,муниципальный район,Ямало-Ненецкий автономный округ,1939,50,50–59 лет,name+centroid,high,1979,adm_1979_243,Шурышкарский,0.0,1.0,0.0
1989,adm_1989_209,Красноселькупский муниципальный район,муниципальный район,Ямало-Ненецкий автономный округ,1947,42,40–49 лет,name+centroid,high,1979,adm_1979_244,Красноселькупский,0.0,1.0,0.0
1989,adm_1989_21,Чойский муниципальный район,муниципальный район,Республика Алтай,1926,63,60–69 лет,geometry+centroid,medium,1979,adm_1979_21,Майминский,10.0,0.588,0.766
1989,adm_1989_216,Тевризский муниципальный район,муниципальный район,Омская область,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_207,Тевризский,0.0,1.0,0.0
1989,adm_1989_217,Чаинский муниципальный район,муниципальный район,Томская область,1970,19,10–19 лет,name+centroid,high,1979,adm_1979_205,Чаинский,1.5,1.0,0.0
1989,adm_1989_218,Зырянский муниципальный район,муниципальный район,Томская область,1930,59,50–59 лет,name+centroid,high,1979,adm_1979_253,Зырянский,2.9,1.0,0.0
1989,adm_1989_22,Михайловский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_22,Михайловский,0.0,1.0,0.0
1989,adm_1989_220,Большереченский муниципальный район,муниципальный район,Омская область,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_174,Большереченский,0.0,1.0,0.0
1989,adm_1989_23,Поспелихинский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_23,Поспелихинский,0.0,1.0,0.0
1989,adm_1989_24,Усть-Калманский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_24,Усть-Калманский,0.0,1.0,0.0
1989,adm_1989_240+adm_1989_53,Таштагольский муниципальный район,муниципальный район,Кемеровская область,1989,0,0–9 лет,new_or_unmatched,low,,,,,,
1989,adm_1989_241+adm_1989_7,Змеиногорский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_8,Змеиногорский,1.4,1.0,0.0
1989,adm_1989_242,Осинниковский район,район,Кемеровская область,1989,0,0–9 лет,new_or_unmatched,low,,,,,,
1989,adm_1989_245+adm_1989_261,Новосибирский муниципальный район,муниципальный район,Новосибирская область,1970,19,10–19 лет,name+centroid,high,1979,adm_1979_251,Новосибирский,0.0,1.0,0.0
1989,adm_1989_246+adm_1989_37,Алейский муниципальный район,муниципальный район,Алтайский край,1989,0,0–9 лет,new_or_unmatched,low,,,,,,
1989,adm_1989_247+adm_1989_75,Каменский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_78,Каменский,13.1,1.0,0.0
1989,adm_1989_25,Петропавловский муниципальный район,муниципальный район,Алтайский край,1970,19,10–19 лет,name+centroid,high,1979,adm_1979_25,Петропавловский,0.0,1.0,0.0
1989,adm_1989_26,Волчихинский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_26,Волчихинский,0.0,1.0,0.0
1989,adm_1989_27,Новичихинский муниципальный район,муниципальный район,Алтайский край,1970,19,10–19 лет,name+centroid,high,1979,adm_1979_27,Новичихинский,0.0,1.0,0.0
1989,adm_1989_28,Советский муниципальный район,муниципальный район,Алтайский край,1970,19,10–19 лет,name+centroid,high,1979,adm_1979_28,Советский,0.0,1.0,0.0
1989,adm_1989_29,Смоленский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_29,Смоленский,0.0,1.0,0.0
1989,adm_1989_3,Третьяковский муниципальный район,муниципальный район,Алтайский край,1970,19,10–19 лет,name+centroid,high,1979,adm_1979_4,Третьяковский,0.0,1.0,0.0
1989,adm_1989_30,Ключевский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_31,Ключевский,0.0,1.0,0.0
1989,adm_1989_31,Быстроистокский муниципальный район,муниципальный район,Алтайский край,1970,19,10–19 лет,name+centroid,high,1979,adm_1979_32,Быстроистокский,0.0,1.0,0.0
1989,adm_1989_33,Красногорский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_34,Красногорский,0.0,1.0,0.0
1989,adm_1989_34,Шипуновский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_35,Шипуновский,0.0,1.0,0.0
1989,adm_1989_35,Турочакский муниципальный район,муниципальный район,Республика Алтай,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_36,Турочакский,0.0,1.0,0.0
1989,adm_1989_36,Усть-Пристанский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_37,Усть-Пристанский,0.0,1.0,0.0
1989,adm_1989_38,Кулундинский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_40,Кулундинский,0.0,1.0,0.0
1989,adm_1989_39,Романовский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_41,Романовский,0.0,1.0,0.0
1989,adm_1989_4,Онгудайский муниципальный район,муниципальный район,Республика Алтай,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_6,Онгудайский,4.8,1.0,0.0
1989,adm_1989_40,Родинский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_42,Родинский,0.0,1.0,0.0
1989,adm_1989_41,Бийский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_43,Бийский,39.8,1.0,0.0
1989,adm_1989_42,Зональный муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,geometry+centroid,medium,1979,adm_1979_43,Бийский,47.1,0.125,0.44
1989,adm_1989_43,Топчихинский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_45,Топчихинский,2.0,1.0,0.0
1989,adm_1989_44,Табунский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_46,Табунский,0.0,1.0,0.0
1989,adm_1989_45,Мамонтовский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_47,Мамонтовский,0.2,1.0,0.0
1989,adm_1989_46,Солтонский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_48,Солтонский,0.0,1.0,0.0
1989,adm_1989_47,Завьяловский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_49,Завьяловский,0.0,1.0,0.0
1989,adm_1989_48,Троицкий муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_50,Троицкий,0.0,1.0,0.0
1989,adm_1989_49,Калманский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_51,Калманский,4.1,1.0,0.0
1989,adm_1989_5,Локтевский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_5,Локтевский,0.0,1.0,0.0
1989,adm_1989_50,Целинный муниципальный район,муниципальный район,Алтайский край,1947,42,40–49 лет,name+centroid,high,1979,adm_1979_52,Целинный,1.5,1.0,0.0
1989,adm_1989_51,Ребрихинский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_53,Ребрихинский,0.0,1.0,0.0
1989,adm_1989_52,Новокузнецкий муниципальный район,муниципальный район,Кемеровская область,1947,42,40–49 лет,name+centroid,medium,1979,adm_1979_103,Новокузнецкий,96.5,1.0,0.0
1989,adm_1989_56,Благовещенский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_56,Благовещенский,0.0,1.0,0.0
1989,adm_1989_58,Тюменцевский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_63,Тюменцевский,16.6,1.0,0.0
1989,adm_1989_59,Ельцовский муниципальный район,муниципальный район,Алтайский край,1947,42,40–49 лет,name+centroid,high,1979,adm_1979_58,Ельцовский,3.1,1.0,0.0
1989,adm_1989_6,Усть-Канский муниципальный район,муниципальный район,Республика Алтай,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_7,Усть-Канский,6.8,1.0,0.0
1989,adm_1989_60,Павловский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_68,Павловский,36.3,1.0,0.0
1989,adm_1989_61,Косихинский муниципальный район,муниципальный район,Алтайский край,1970,19,10–19 лет,name+centroid,high,1979,adm_1979_59,Косихинский,0.0,1.0,0.0
1989,adm_1989_62,Баевский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_60,Баевский,0.0,1.0,0.0
1989,adm_1989_63,Бурлинский муниципальный район,муниципальный район,Алтайский край,1939,50,50–59 лет,name+centroid,high,1979,adm_1979_62,Бурлинский,0.0,1.0,0.0
1989,adm_1989_65,Тогульский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_64,Тогульский,2.3,1.0,0.0
1989,adm_1989_66,Шелаболихинский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,geometry+centroid,low,1979,adm_1979_68,Павловский,80.5,0.48,0.384
1989,adm_1989_68,Кытмановский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_72,Кытмановский,2.2,1.0,0.0
1989,adm_1989_69,Хабарский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_73,Хабарский,0.0,1.0,0.0
1989,adm_1989_70,Мысковский,район,Кемеровская область,1989,0,0–9 лет,new_or_unmatched,low,,,,,,
1989,adm_1989_73,Первомайский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_75,Первомайский,0.0,1.0,0.0
1989,adm_1989_74,Русско-Полянский муниципальный район,муниципальный район,Омская область,1930,59,50–59 лет,name+centroid,high,1979,adm_1979_77,Русско-Полянский,0.0,1.0,0.0
1989,adm_1989_76,Панкрушихинский муниципальный район,муниципальный район,Алтайский край,1970,19,10–19 лет,name+centroid,high,1979,adm_1979_79,Панкрушихинский,5.0,1.0,0.0
1989,adm_1989_78,Тальменский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_80,Тальменский,0.0,1.0,0.0
1989,adm_1989_79,Заринский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_81,Заринский,2.4,1.0,0.0
1989,adm_1989_8,Улаганский муниципальный район,муниципальный район,Республика Алтай,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_9,Улаганский,0.0,1.0,0.0
1989,adm_1989_80,Баганский муниципальный район,муниципальный район,Новосибирская область,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_83,Баганский,0.0,1.0,0.0
1989,adm_1989_81,Крутихинский муниципальный район,муниципальный район,Алтайский край,1926,63,60–69 лет,name+centroid,high,1979,adm_1979_84,Крутихинский,4.0,1.0,0.0
