year,unit_id,name,admin_parent,operation,old_population,new_population,note,source_total,urban_subtracted,old_name
1930,adm_1930_38,Чистюнский,Барнаульский округ,rename_and_set_population_from_schneider,43043.0,48620,,,,Безымянный район №3 (Барнаульский округ)
1930,adm_1930_40,Завьяловский,Каменский округ,rename_and_set_population_from_schneider,42676.0,46329,,,,Безымянный район №1 (Каменский округ)
1930,adm_1930_45,Ребрихинский,Барнаульский округ,rename_and_set_population_from_schneider,39830.0,50600,,,,Безымянный район №4 (Барнаульский округ)
1930,adm_1930_47,Куликовский,Каменский округ,rename_and_set_population_from_schneider,31335.0,33548,,,,Безымянный район №2 (Каменский округ)
1930,adm_1930_49,Шадринский (Барнаульский),Барнаульский округ,rename_and_set_population_from_schneider,67187.0,40503,,,,Безымянный район №5 (Барнаульский округ)
1930,adm_1930_51,Тюменцевский,Каменский округ,rename_and_set_population_from_schneider,18994.0,25143,,,,Безымянный район №3 (Каменский округ)
1930,adm_1930_52,Павловский,Барнаульский округ,rename_and_set_population_from_schneider,52264.0,66418,,,,Безымянный район №6 (Барнаульский округ)
1930,adm_1930_53,Баевский,Каменский округ,rename_and_set_population_from_schneider,35415.0,38473,,,,Безымянный район №4 (Каменский округ)
1930,adm_1930_54,Косихинский,Барнаульский округ,rename_and_set_population_from_schneider,38628.0,42325,,,,Безымянный район №7 (Барнаульский округ)
1930,adm_1930_56,Кипринский,Каменский округ,rename_and_set_population_from_schneider,14872.0,16235,,,,Безымянный район №5 (Каменский округ)
1930,adm_1930_58,Верхне-Чумышский,Барнаульский округ,rename_and_set_population_from_schneider,27523.0,49553,,,,Безымянный район №8 (Барнаульский округ)
1930,adm_1930_59,Белоярский,Барнаульский округ,rename_and_set_population_from_schneider,80089.0,63469,,,,Безымянный район №9 (Барнаульский округ)
1930,adm_1930_60,Каменский,Каменский округ,rename_and_set_population_from_schneider,36000.0,41740,,,,Безымянный район №6 (Каменский округ)
1930,adm_1930_62,Сузунский,Каменский округ,rename_and_set_population_from_schneider,30167.0,18857,,,,Безымянный район №7 (Каменский округ)
1930,adm_1930_63,Панкрушихинский,Каменский округ,rename_and_set_population_from_schneider,35480.0,41289,,,,Безымянный район №8 (Каменский округ)
1930,adm_1930_65,Тальменский,Барнаульский округ,rename_and_set_population_from_schneider,63786.0,57000,,,,Безымянный район №10 (Барнаульский округ)
1930,adm_1930_66,Чумышский,Барнаульский округ,rename_and_set_population_from_schneider,62311.0,73798,,,,Безымянный район №11 (Барнаульский округ)
1930,adm_1930_67,Петропавловский,Каменский округ,rename_and_set_population_from_schneider,22787.0,22191,,,,Безымянный район №9 (Каменский округ)
1930,adm_1930_70,Крутихинский,Каменский округ,rename_and_set_population_from_schneider,54383.0,35114,,,,Безымянный район №10 (Каменский округ)
1930,adm_1930_72,Залесовский,Барнаульский округ,rename_and_set_population_from_schneider,29453.0,29110,,,,Безымянный район №12 (Барнаульский округ)
1930,adm_1930_76,Спиринский,Каменский округ,rename_and_set_population_from_schneider,33719.0,33636,,,,Безымянный район №11 (Каменский округ)
1930,adm_1930_78,Кочковский,Каменский округ,rename_and_set_population_from_schneider,35288.0,31948,,,,Безымянный район №12 (Каменский округ)
