year,unit_id,name,admin_parent,admin_intermediate,admin_superparent,area_km2,reason
1848,adm_1848_18,Волости двоеданцев,Томская губерния,Бийский округ,Томская губерния,39446.823,special_or_uncertain_status
1855,adm_1855_24,Волости двоеданцев,Верхний уровень не указан,Верхний уровень не указан,Верхний уровень не указан,39446.818,double_tax_or_dual_affiliation_by_name
1897,adm_1897_10,,,,,193.78,missing_name_or_unit_type
1897,adm_1897_12,,,,,96.53,missing_name_or_unit_type
1897,adm_1897_22,,,,,0.0,area_lt_50_km2_or_missing
1914,adm_1914_28,,,,,0.1,area_lt_50_km2_or_missing
1918,adm_1918_3,"Бухтарминский уезд, переданный в 1920 г. в Семипалатинскую область",Алтайская губерния,Алтайская губерния,РСФСР,15688.953,transferred_to_semipalatinsk_context
1918,adm_1918_10,Алтайская губерния,Алтайская губерния,Алтайская губерния,РСФСР,44.624,area_lt_50_km2_or_missing
1918,adm_1918_12,Территория переданная в Семипалатинскую губернию в сентябре 1918 г.,Алтайская губерния,Алтайская губерния,РСФСР,2271.357,transferred_to_semipalatinsk_context
1918,adm_1918_13,Территории переданные Семипалатинской области в 1925 гг.,Алтайская губерния,Алтайская губерния,РСФСР,1448.795,transferred_to_semipalatinsk_context
1918,adm_1918_14,"Часть Змеиногорского уезда, переданная в 1920 г. в Семипалатинскую область",Алтайская губерния,Алтайская губерния,РСФСР,18805.598,transferred_to_semipalatinsk_context
1918,adm_1918_15,Территории переданные Семипалатинской области в 1925 гг.,Алтайская губерния,Алтайская губерния,РСФСР,324.67,transferred_to_semipalatinsk_context
1918,adm_1918_24,Спорная территория между Кузнецким и Щегловским уездом,Томская губерния,Томская губерния,РСФСР,2641.294,uncertain_or_disputed_by_name
1918,urban_1918_1,Барабинск,Томская губерния,Томская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_2,Барнаул,Алтайская губерния,Алтайская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_3,Берёзов,Тобольская губерния,Тобольская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_4,Бийск,Алтайская губерния,Алтайская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_5,Ишим,Тобольская губерния,Тобольская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_6,Каинск / Куйбышев,Томская губерния,Томская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_7,Камень-на-Оби,Алтайская губерния,Алтайская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_8,Кузнецк / Сталинск / Новокузнецк,Томская губерния,Томская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_9,Мариинск,Томская губерния,Томская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_10,Ново-Николаевск / Новосибирск,Томская губерния,Томская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_11,Омск,Тобольская губерния,Тобольская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_12,Славгород,Алтайская губерния,Алтайская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_13,Тара,Тобольская губерния,Тобольская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_14,Татарск,Томская губерния,Томская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_15,Тобольск,Тобольская губерния,Тобольская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_16,Томск,Томская губерния,Томская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_17,Тюкалинск,Тобольская губерния,Тобольская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_18,Тюмень,Тобольская губерния,Тобольская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1918,urban_1918_19,Ялуторовск,Тобольская губерния,Тобольская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,adm_1923_27,Неясная принадлежность территории на момент 1923 г. между Томской и Ново-Николаевской губернией,Губернии и автономные области,Губернии и автономные области,РСФСР,2699.71,uncertain_or_disputed_by_name
1923,adm_1923_28,Спорная территория между Ново-Николаевской и Омской губерниями,Губернии и автономные области,Губернии и автономные области,РСФСР,6044.777,uncertain_or_disputed_by_name
1923,adm_1923_29,Спорная территория между Ново-Николаевской и Омской губерниями,Губернии и автономные области,Губернии и автономные области,РСФСР,2460.233,uncertain_or_disputed_by_name
1923,urban_1923_1,Барабинск,Ново-Николаевская губерния,Ново-Николаевская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_2,Барнаул,Алтайская губерния,Алтайская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_3,Бийск,Алтайская губерния,Алтайская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
1923,urban_1923_4,Ишим,Тюменская губерния,Тюменская губерния,РСФСР,28.238,area_lt_50_km2_or_missing
