year,unit_id,name,unit_type,admin_parent,admin_intermediate,admin_superparent,area_km2,population,urban_pop,topology_excluded,excluded_by
1926,adm_1926_270,Туринский,район,Ирбитский округ,Ирбитский округ,Уральская область,3082.96,32542.0,0,False,Ирбитский округ
1926,adm_1926_271,Тавдинский,район,Ирбитский округ,Ирбитский округ,Уральская область,4799.86,17133.0,0,False,Ирбитский округ
1926,adm_1926_276,Благовещенский,район,Ирбитский округ,Ирбитский округ,Уральская область,5702.03,21636.0,0,False,Ирбитский округ
1926,adm_1926_278,Таборинский,район,Ирбитский округ,Ирбитский округ,Уральская область,12220.39,14155.0,0,False,Ирбитский округ
1926,adm_1926_292,Знаменский,район,Ирбитский округ,Ирбитский округ,Уральская область,1077.96,20350.0,0,False,Ирбитский округ
1926,adm_1926_293,Богдановичевский,район,Шадринский округ,Шадринский округ,Уральская область,1131.97,27611.0,0,False,Шадринский округ
1930,adm_1930_121,Безымянный район №1 (Ачинский округ),район,Ачинский округ,Ачинский округ,Сибирский край,3851.17,533,0,False,Ачинский округ
1930,adm_1930_124,Безымянный район №2 (Ачинский округ),район,Ачинский округ,Ачинский округ,Сибирский край,8328.55,24188,0,False,Ачинский округ
1930,adm_1930_135,Безымянный район №3 (Ачинский округ),район,Ачинский округ,Ачинский округ,Сибирский край,2247.7,6268,0,False,Ачинский округ
1930,adm_1930_139,Безымянный район №4 (Ачинский округ),район,Ачинский округ,Ачинский округ,Сибирский край,2840.92,81,0,False,Ачинский округ
1930,adm_1930_169,Безымянный район №5 (Ачинский округ),район,Ачинский округ,Ачинский округ,Сибирский край,7750.22,481,0,False,Ачинский округ
1930,adm_1930_179,Безымянный район №6 (Ачинский округ),район,Ачинский округ,Ачинский округ,Сибирский край,13332.2,17827,0,False,Ачинский округ
2021,adm_2021_113,Звериноголовский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,1357.18,7250.0,0.0,False,Курганская область
2021,adm_2021_119,Целинный муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,3457.6,13918.0,0.0,False,Курганская область
2021,adm_2021_133,Альменевский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,2480.65,9128.0,0.0,False,Курганская область
2021,adm_2021_135,Половинский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,2736.29,10031.0,0.0,False,Курганская область
2021,adm_2021_137,Сафакулевский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,2287.71,9692.0,0.0,False,Курганская область
2021,adm_2021_138,Куртамышский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,3884.58,27903.0,16401.0,False,Курганская область
2021,adm_2021_142,Притобольный муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,2346.11,12452.0,0.0,False,Курганская область
2021,adm_2021_148,Петуховский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,2770.23,16267.0,9916.0,False,Курганская область
2021,adm_2021_154,Курган,район,Курганская область,Курганская область,Курганская область,400.83,309285.0,,False,Курганская область
2021,adm_2021_157,Макушинский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,3486.29,14645.0,7680.0,False,Курганская область
2021,adm_2021_161,Лебяжьевский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,3176.15,12815.0,5425.0,False,Курганская область
2021,adm_2021_164,Юргамышский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,2588.45,18487.0,7518.0,False,Курганская область
2021,adm_2021_165,Частоозерский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,1935.88,4995.0,0.0,False,Курганская область
2021,adm_2021_169,Кетовский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,3323.63,62306.0,0.0,False,Курганская область
2021,adm_2021_170,Шумихинский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,2816.16,24521.0,17141.0,False,Курганская область
2021,adm_2021_171,Щучанский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,2867.01,18953.0,9346.0,False,Курганская область
2021,adm_2021_172,Мишкинский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,3009.77,14354.0,7392.0,False,Курганская область
2021,adm_2021_181,Мокроусовский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,3082.46,11067.0,0.0,False,Курганская область
2021,adm_2021_184,Варгашинский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,2979.6,18210.0,9080.0,False,Курганская область
2021,adm_2021_193,город Шадринск,район,Курганская область,Курганская область,Курганская область,190.67,74400.0,,False,Курганская область
2021,adm_2021_194,Каргапольский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,3220.0,29009.0,12235.0,False,Курганская область
2021,adm_2021_198,Белозерский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,3416.26,14476.0,0.0,False,Курганская область
2021,adm_2021_207,Шадринский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,4009.97,24493.0,0.0,False,Курганская область
2021,adm_2021_210,Катайский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,2693.37,20948.0,12341.0,False,Курганская область
2021,adm_2021_213,Далматовский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,3506.85,24038.0,11938.0,False,Курганская область
2021,adm_2021_224,Шатровский муниципальный район,муниципальный район,Курганская область,Курганская область,Курганская область,3544.8,14927.0,0.0,False,Курганская область
