year;unit_id;unit_name;admin_parent;unit_type;total_boundary_km;coast_pct;river_pct;lake_pct;watershed_flowing_pct;watershed_endo_pct;wetland_pct;unexplained_physical_pct;match_2021_pct;match_mo_pct;admin_memory_pct;rail_pct;geometric_candidate_pct;dominant_physical_origin;dominant_physical_label
1700;adm_1700_015;Безымянный объект №15;Уездная сеть Сибири;уезд;15.51;0.0;0.0;0.0;100.0;0.0;0.0;0.0;80.0;80.0;80.0;0.0;0.0;watershed_flowing;водораздел сточных бассейнов
1700;adm_1700_016;Красноярский уезд;Уездная сеть Сибири;уезд;2650.884;0.0;27.16;0.38;55.49;0.0;0.0;16.97;0.0;56.89;56.89;0.0;10.56;watershed_flowing;водораздел сточных бассейнов
1700;adm_1700_017;Томский уезд;Уездная сеть Сибири;уезд;2130.046;0.0;20.66;3.29;48.83;0.0;1.41;25.82;10.93;26.9;29.08;1.81;20.66;watershed_flowing;водораздел сточных бассейнов
1700;adm_1700_018;Зона слабого контроля в Верхнем Енисее / Хакасии;Вне регулярной уездной сети;особая реконструкционная территория;943.745;0.0;48.08;7.42;23.31;0.0;0.0;21.19;0.0;61.43;61.43;2.38;20.13;river;река
1700;adm_1700_019;Тарский уезд;Уездная сеть Сибири;уезд;1953.478;0.0;16.89;1.54;39.93;2.56;15.87;23.22;27.42;51.23;51.95;2.28;18.61;watershed_flowing;водораздел сточных бассейнов
1700;adm_1700_020;Кузнецкий уезд;Уездная сеть Сибири;уезд;1410.661;0.0;11.34;0.71;61.72;0.0;0.0;26.23;40.05;54.09;57.77;3.69;20.56;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_001;Иркутская провинция;Иркутская провинция;провинция;28947.845;65.21;10.36;0.17;7.0;0.0;0.0;17.25;0.0;1.52;1.52;0.0;3.39;coastline;береговая линия
1719;adm_1719_002;Туруханский уезд;Тобольская провинция;уезд;17216.649;72.0;10.05;0.0;14.81;0.0;0.64;2.5;17.14;40.9;58.04;0.17;2.1;coastline;береговая линия
1719;adm_1719_003;Берёзовский уезд;Тобольская провинция;уезд;6992.924;51.22;11.73;0.72;30.48;0.0;5.0;0.86;72.94;1.13;73.83;0.75;0.72;coastline;береговая линия
1719;adm_1719_004;Спорная зона Берёзовского / Мангазейского уездов;Тобольская провинция;спорная территория;2276.166;30.31;29.87;0.88;29.71;0.0;7.47;1.76;35.51;0.0;35.51;1.05;1.76;coastline;береговая линия
1719;adm_1719_005;Спорная зона Мангазейского / Берёзовского уездов;Тобольская провинция;спорная территория;1093.338;0.0;44.21;0.0;39.33;0.0;16.46;0.0;9.33;0.0;9.33;0.0;0.0;river;река
1719;adm_1719_006;Томский уезд;Тобольская провинция;уезд;2340.532;0.0;20.51;0.43;51.3;0.0;0.85;26.92;16.98;30.52;36.67;2.26;18.8;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_007;Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская);Тобольская провинция;степная территория без уезда;1956.59;0.0;34.75;0.0;47.87;0.0;2.56;14.82;24.44;40.01;40.72;2.11;14.31;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_009;Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск;Тобольская провинция;степная территория без уезда;1761.313;0.0;56.78;0.0;15.9;6.81;0.0;20.52;9.96;26.66;27.45;5.03;15.97;river;река
1719;adm_1719_010;Кузнецкий уезд;Тобольская провинция;уезд;2046.827;0.0;16.12;0.0;53.1;6.35;0.0;24.43;30.83;48.05;55.75;2.34;14.17;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_011;Красноярский уезд;Тобольская провинция;уезд;2316.08;0.0;25.47;0.43;50.78;0.0;0.0;23.31;2.07;47.41;47.41;0.57;19.0;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_012;Енисейский уезд;Тобольская провинция;уезд;2098.077;0.0;25.65;0.0;50.05;0.0;0.95;23.35;0.2;18.69;18.69;0.0;20.02;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_013;Кунгурский уезд;Соль-Камская провинция;уезд;641.572;0.0;10.91;0.0;48.32;0.0;0.0;40.77;0.0;1.94;1.94;2.66;18.95;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_014;Чердынский уезд;Соль-Камская провинция;уезд;1286.488;0.0;14.77;0.0;70.46;0.0;0.0;14.77;0.0;0.0;0.0;0.0;7.77;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_015;Хлыновский уезд;Хлыновская провинция;уезд;672.547;0.0;34.2;0.0;47.96;0.0;0.0;17.84;0.0;0.0;0.0;0.0;10.41;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_016;Неклассифицированные;Хлыновская провинция;АТЕ;30.345;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_017;Соликамский уезд;Соль-Камская провинция;уезд;1229.1;0.0;13.83;0.0;60.95;0.0;0.0;25.22;0.0;0.0;0.0;0.74;10.58;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_018;Слободской уезд;Хлыновская провинция;уезд;1193.785;0.0;28.8;0.0;51.94;0.0;0.0;19.27;0.0;0.0;0.0;0.0;7.54;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_019;Кайгородский уезд;Хлыновская провинция;уезд;717.524;0.0;12.54;0.0;76.31;0.0;0.0;11.15;0.0;0.0;0.0;0.0;0.0;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_020;Неклассифицированные;Хлыновская провинция;АТЕ;377.304;0.0;49.64;0.0;50.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_021;Котельничский уезд;Хлыновская провинция;уезд;332.973;0.0;48.05;0.0;42.94;0.0;0.0;9.01;0.0;0.0;0.0;0.0;0.0;river;река
1719;adm_1719_022;Шостаковский уезд;Хлыновская провинция;уезд;118.693;0.0;25.28;0.0;49.52;0.0;0.0;25.21;0.0;0.0;0.0;0.0;0.0;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_023;Енисейский уезд;Енисейская провинция;уезд;8.951;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_024;Томский уезд;Тобольская провинция;уезд;35.189;0.0;71.58;0.0;28.42;0.0;0.0;0.0;31.55;31.55;31.55;0.0;0.0;river;река
1719;adm_1719_025;Туринский уезд;Тобольская провинция;уезд;574.022;0.0;13.94;0.0;66.9;0.0;0.0;19.16;0.0;23.17;23.17;1.93;10.45;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_026;Зона неустойчивого контроля;Тобольская провинция;зона неустойчивого контроля;2105.723;0.0;36.57;6.17;37.52;0.0;4.55;15.2;18.24;38.97;47.72;3.97;8.55;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_027;Верхотурский уезд;Тобольская провинция;уезд;1835.539;0.0;27.78;0.0;49.56;0.0;0.0;22.65;2.08;8.87;10.96;2.61;14.48;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_028;Пелымский уезд;Тобольская провинция;уезд;1525.673;0.0;38.39;1.31;49.16;0.0;7.21;3.93;7.98;14.26;19.16;0.86;2.62;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_029;Тюменский уезд;Тобольская провинция;уезд;1700.447;0.0;35.31;2.94;38.22;0.0;0.0;23.52;11.68;33.79;38.0;3.38;12.35;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_030;Кетский уезд;Тобольская провинция;уезд;1313.496;0.0;34.26;0.76;53.56;0.0;0.76;10.66;8.9;10.14;17.1;0.37;6.85;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_031;Нарымский уезд;Тобольская провинция;уезд;1824.693;0.0;45.2;0.0;37.81;0.0;0.0;16.99;18.57;17.35;27.44;0.0;14.25;river;река
1719;adm_1719_032;Тарский уезд;Тобольская провинция;АТЕ;1201.327;0.0;7.49;0.0;55.77;0.0;23.31;13.43;30.68;51.05;51.63;1.1;10.94;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_033;Тобольский уезд;Тобольская провинция;уезд;2008.628;0.0;34.35;1.0;48.79;0.0;10.89;4.98;21.23;29.67;37.95;0.9;2.49;watershed_flowing;водораздел сточных бассейнов
1719;adm_1719_034;Сургутский уезд;Тобольская провинция;уезд;2651.907;0.0;24.89;1.89;61.92;0.0;7.92;3.39;17.16;6.87;21.67;0.15;1.89;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_001;Иркутская провинция;Иркутская провинция;провинция;28947.845;65.21;10.36;0.17;7.0;0.0;0.0;17.25;0.0;1.52;1.52;0.0;3.39;coastline;береговая линия
1724;adm_1724_002;Туруханский уезд;Енисейская провинция;уезд;17216.649;72.0;10.05;0.0;14.81;0.0;0.64;2.5;17.14;40.9;58.04;0.17;2.1;coastline;береговая линия
1724;adm_1724_003;Берёзовский уезд;Тобольская провинция;уезд;6992.924;51.22;11.73;0.72;30.48;0.0;5.0;0.86;72.94;1.13;73.83;0.75;0.72;coastline;береговая линия
1724;adm_1724_004;Спорная зона Берёзовского / Мангазейского уездов;Тобольская провинция;спорная территория;2276.166;30.31;29.87;0.88;29.71;0.0;7.47;1.76;35.51;0.0;35.51;1.05;1.76;coastline;береговая линия
1724;adm_1724_005;Спорная зона Мангазейского / Берёзовского уездов;Тобольская провинция;спорная территория;1093.338;0.0;44.21;0.0;39.33;0.0;16.46;0.0;9.33;0.0;9.33;0.0;0.0;river;река
1724;adm_1724_006;Томский уезд;Енисейская провинция;уезд;2340.532;0.0;20.51;0.43;51.3;0.0;0.85;26.92;16.98;30.52;36.67;2.26;18.8;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_007;Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская);Енисейская провинция;степная территория без уезда;1956.59;0.0;34.75;0.0;47.87;0.0;2.56;14.82;24.44;40.01;40.72;2.11;14.31;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_008;Нарымский уезд;Енисейская провинция;уезд;1824.693;0.0;45.2;0.0;37.81;0.0;0.0;16.99;18.57;17.35;27.44;0.0;14.25;river;река
1724;adm_1724_010;Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск;Енисейская провинция;степная территория без уезда;1761.313;0.0;56.78;0.0;15.9;6.81;0.0;20.52;9.96;26.66;27.45;5.03;15.97;river;река
1724;adm_1724_011;Кузнецкий уезд;Енисейская провинция;уезд;2046.827;0.0;16.12;0.0;53.1;6.35;0.0;24.43;30.83;48.05;55.75;2.34;14.17;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_012;Тарский уезд;Тобольская провинция;АТЕ;1201.327;0.0;7.49;0.0;55.77;0.0;23.31;13.43;30.68;51.05;51.63;1.1;10.94;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_013;Красноярский уезд;Енисейская провинция;уезд;2316.08;0.0;25.47;0.43;50.78;0.0;0.0;23.31;2.07;47.41;47.41;0.57;19.0;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_014;Енисейский уезд;Енисейская провинция;уезд;2098.077;0.0;25.65;0.0;50.05;0.0;0.95;23.35;0.2;18.69;18.69;0.0;20.02;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_015;Кунгурский уезд;Соль-Камская провинция;уезд;641.572;0.0;10.91;0.0;48.32;0.0;0.0;40.77;0.0;1.94;1.94;2.66;18.95;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_016;Чердынский уезд;Соль-Камская провинция;уезд;1286.488;0.0;14.77;0.0;70.46;0.0;0.0;14.77;0.0;0.0;0.0;0.0;7.77;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_017;Хлыновский уезд;Вятская провинция;уезд;672.547;0.0;34.2;0.0;47.96;0.0;0.0;17.84;0.0;0.0;0.0;0.0;10.41;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_018;Неклассифицированные;Вятская провинция;АТЕ;30.345;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_019;Соликамский уезд;Соль-Камская провинция;уезд;1229.1;0.0;13.83;0.0;60.95;0.0;0.0;25.22;0.0;0.0;0.0;0.74;10.58;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_020;Слободской уезд;Вятская провинция;уезд;1193.785;0.0;28.8;0.0;51.94;0.0;0.0;19.27;0.0;0.0;0.0;0.0;7.54;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_021;Кайгородский уезд;Вятская провинция;уезд;717.524;0.0;12.54;0.0;76.31;0.0;0.0;11.15;0.0;0.0;0.0;0.0;0.0;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_022;Неклассифицированные;Вятская провинция;АТЕ;377.304;0.0;49.64;0.0;50.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_023;Котельничский уезд;Вятская провинция;уезд;332.973;0.0;48.05;0.0;42.94;0.0;0.0;9.01;0.0;0.0;0.0;0.0;0.0;river;река
1724;adm_1724_024;Шостаковский уезд;Вятская провинция;уезд;118.693;0.0;25.28;0.0;49.52;0.0;0.0;25.21;0.0;0.0;0.0;0.0;0.0;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_025;Енисейский уезд;Енисейская провинция;уезд;8.951;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_026;Томский уезд;Енисейская провинция;уезд;35.189;0.0;71.58;0.0;28.42;0.0;0.0;0.0;31.55;31.55;31.55;0.0;0.0;river;река
1724;adm_1724_027;Туринский уезд;Тобольская провинция;уезд;574.022;0.0;13.94;0.0;66.9;0.0;0.0;19.16;0.0;23.17;23.17;1.93;10.45;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_028;Зона неустойчивого контроля;Тобольская провинция;зона неустойчивого контроля;2105.723;0.0;36.57;6.17;37.52;0.0;4.55;15.2;18.24;38.97;47.72;3.97;8.55;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_029;Верхотурский уезд;Тобольская провинция;уезд;1835.539;0.0;27.78;0.0;49.56;0.0;0.0;22.65;2.08;8.87;10.96;2.61;14.48;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_030;Пелымский уезд;Тобольская провинция;уезд;1525.673;0.0;38.39;1.31;49.16;0.0;7.21;3.93;7.98;14.26;19.16;0.86;2.62;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_031;Тобольский уезд;Тобольская провинция;уезд;2008.628;0.0;34.35;1.0;48.79;0.0;10.89;4.98;21.23;29.67;37.95;0.9;2.49;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_032;Тюменский уезд;Тобольская провинция;уезд;1700.447;0.0;35.31;2.94;38.22;0.0;0.0;23.52;11.68;33.79;38.0;3.38;12.35;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_033;Сургутский уезд;Тобольская провинция;уезд;2651.907;0.0;24.89;1.89;61.92;0.0;7.92;3.39;17.16;6.87;21.67;0.15;1.89;watershed_flowing;водораздел сточных бассейнов
1724;adm_1724_034;Кетский уезд;Енисейская провинция;уезд;1313.496;0.0;34.26;0.76;53.56;0.0;0.76;10.66;8.9;10.14;17.1;0.37;6.85;watershed_flowing;водораздел сточных бассейнов
1727;adm_1727_001;Иркутская провинция;Иркутская провинция;провинция;28947.845;65.21;10.36;0.17;7.0;0.0;0.0;17.25;0.0;1.52;1.52;0.0;3.39;coastline;береговая линия
1727;adm_1727_002;Туруханский уезд;Енисейская провинция;уезд;17216.649;72.0;10.05;0.0;14.81;0.0;0.64;2.5;17.14;40.9;58.04;0.17;2.1;coastline;береговая линия
1727;adm_1727_003;Спорная зона Берёзовского / Мангазейского уездов;Тобольская провинция;спорная территория;1093.338;0.0;44.21;0.0;39.33;0.0;16.46;0.0;9.33;0.0;9.33;0.0;0.0;river;река
1727;adm_1727_004;Берёзовский уезд;Тобольская провинция;уезд;6992.924;51.22;11.73;0.72;30.48;0.0;5.0;0.86;72.94;1.13;73.83;0.75;0.72;coastline;береговая линия
1727;adm_1727_005;Спорная зона Мангазейского / Берёзовского уездов;Тобольская провинция;спорная территория;2276.166;30.31;29.87;0.88;29.71;0.0;7.47;1.76;35.51;0.0;35.51;1.05;1.76;coastline;береговая линия
1727;adm_1727_006;Томский уезд;Тобольская провинция;уезд;2340.532;0.0;20.51;0.43;51.3;0.0;0.85;26.92;16.98;30.52;36.67;2.26;18.8;watershed_flowing;водораздел сточных бассейнов
1727;adm_1727_007;Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская);Тобольская провинция;степная территория без уезда;1956.59;0.0;34.75;0.0;47.87;0.0;2.56;14.82;24.44;40.01;40.72;2.11;14.31;watershed_flowing;водораздел сточных бассейнов
1727;adm_1727_008;Нарымский уезд;Тобольская провинция;уезд;1824.693;0.0;45.2;0.0;37.81;0.0;0.0;16.99;18.57;17.35;27.44;0.0;14.25;river;река
1727;adm_1727_010;Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск;Тобольская провинция;степная территория без уезда;1761.313;0.0;56.78;0.0;15.9;6.81;0.0;20.52;9.96;26.66;27.45;5.03;15.97;river;река
1727;adm_1727_011;Кузнецкий уезд;Тобольская провинция;уезд;2046.827;0.0;16.12;0.0;53.1;6.35;0.0;24.43;30.83;48.05;55.75;2.34;14.17;watershed_flowing;водораздел сточных бассейнов
1727;adm_1727_012;Тарский уезд;Тобольская провинция;АТЕ;1201.327;0.0;7.49;0.0;55.77;0.0;23.31;13.43;30.68;51.05;51.63;1.1;10.94;watershed_flowing;водораздел сточных бассейнов
1727;adm_1727_013;Красноярский уезд;Енисейская провинция;уезд;2316.08;0.0;25.47;0.43;50.78;0.0;0.0;23.31;2.07;47.41;47.41;0.57;19.0;watershed_flowing;водораздел сточных бассейнов
1727;adm_1727_014;Енисейский уезд;Енисейская провинция;уезд;2098.077;0.0;25.65;0.0;50.05;0.0;0.95;23.35;0.2;18.69;18.69;0.0;20.02;watershed_flowing;водораздел сточных бассейнов
1727;adm_1727_015;Енисейский уезд;Енисейская провинция;уезд;8.951;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;watershed_flowing;водораздел сточных бассейнов
1727;adm_1727_016;Томский уезд;Енисейская провинция;уезд;35.189;0.0;71.58;0.0;28.42;0.0;0.0;0.0;31.55;31.55;31.55;0.0;0.0;river;река
1727;adm_1727_017;Туринский уезд;Тобольская провинция;уезд;574.022;0.0;13.94;0.0;66.9;0.0;0.0;19.16;0.0;23.17;23.17;1.93;10.45;watershed_flowing;водораздел сточных бассейнов
1727;adm_1727_018;Зона неустойчивого контроля;Тобольская провинция;зона неустойчивого контроля;2105.723;0.0;36.57;6.17;37.52;0.0;4.55;15.2;18.24;38.97;47.72;3.97;8.55;watershed_flowing;водораздел сточных бассейнов
1727;adm_1727_019;Верхотурский уезд;Тобольская провинция;уезд;1835.539;0.0;27.78;0.0;49.56;0.0;0.0;22.65;2.08;8.87;10.96;2.61;14.48;watershed_flowing;водораздел сточных бассейнов
1727;adm_1727_020;Пелымский уезд;Тобольская провинция;уезд;1525.673;0.0;38.39;1.31;49.16;0.0;7.21;3.93;7.98;14.26;19.16;0.86;2.62;watershed_flowing;водораздел сточных бассейнов
1727;adm_1727_021;Тобольский уезд;Тобольская провинция;уезд;2008.628;0.0;34.35;1.0;48.79;0.0;10.89;4.98;21.23;29.67;37.95;0.9;2.49;watershed_flowing;водораздел сточных бассейнов
1727;adm_1727_022;Тюменский уезд;Тобольская провинция;уезд;1700.447;0.0;35.31;2.94;38.22;0.0;0.0;23.52;11.68;33.79;38.0;3.38;12.35;watershed_flowing;водораздел сточных бассейнов
1727;adm_1727_023;Сургутский уезд;Тобольская провинция;уезд;2651.907;0.0;24.89;1.89;61.92;0.0;7.92;3.39;17.16;6.87;21.67;0.15;1.89;watershed_flowing;водораздел сточных бассейнов
1727;adm_1727_024;Кетский уезд;Тобольская провинция;уезд;1313.496;0.0;34.26;0.76;53.56;0.0;0.76;10.66;8.9;10.14;17.1;0.37;6.85;watershed_flowing;водораздел сточных бассейнов
1745;adm_1745_001;Мангазейский уезд;Енисейская провинция;уезд;17276.602;69.57;7.91;0.0;15.51;0.0;1.22;5.79;16.62;41.35;57.97;0.02;4.11;coastline;береговая линия
1745;adm_1745_002;Спорная зона Мангазейского уезда;Зона спорной принадлежности;спорная территория;2035.894;0.0;47.15;0.0;42.53;0.0;0.0;10.31;0.0;2.13;2.13;0.0;6.39;river;река
1745;adm_1745_003;Сургутский уезд;Тобольская провинция;уезд;3238.153;0.0;23.78;0.0;59.55;0.0;10.81;5.87;9.0;7.32;13.17;0.29;5.56;watershed_flowing;водораздел сточных бассейнов
1745;adm_1745_004;Берёзовский уезд;Тобольская провинция;уезд;6621.865;54.69;6.49;0.0;33.07;0.0;3.62;2.11;75.61;1.29;76.9;0.32;1.81;coastline;береговая линия
1745;adm_1745_005;Степь казачьей орды;Степь казачьей орды;степная территория слабого контроля;3574.083;0.0;50.08;1.4;23.34;0.56;0.0;24.62;7.64;8.93;9.95;3.88;15.39;river;река
1745;adm_1745_006;Тюменский уезд;Тобольская провинция;уезд;742.708;0.0;18.85;0.0;54.23;0.0;1.35;25.58;19.6;47.8;52.08;0.58;1.35;watershed_flowing;водораздел сточных бассейнов
1745;adm_1745_007;Тарский уезд;Тобольская провинция;уезд;3680.319;0.0;33.71;1.09;34.24;9.24;2.72;19.02;20.56;30.63;35.06;2.66;13.04;watershed_flowing;водораздел сточных бассейнов
1745;adm_1745_008;Кузнецкий уезд;Тобольская провинция;уезд;2039.363;0.0;8.83;0.0;47.04;9.81;0.0;34.32;32.64;51.88;59.88;3.02;17.16;watershed_flowing;водораздел сточных бассейнов
1745;adm_1745_009;Нарымский уезд;Тобольская провинция;уезд;1355.28;0.0;6.64;0.0;72.3;0.0;6.3;14.76;11.25;12.01;18.72;0.5;12.54;watershed_flowing;водораздел сточных бассейнов
1745;adm_1745_010;Красноярский уезд;Енисейская провинция;уезд;2186.274;0.0;19.67;0.0;69.36;0.0;0.0;10.98;0.0;57.24;57.24;0.4;8.23;watershed_flowing;водораздел сточных бассейнов
1745;adm_1745_011;Колывано-воскресенский горный округ;Колывано-Воскресенское горное ведомство;горнозаводское ведомство;1083.08;0.0;18.47;1.85;35.37;16.62;0.0;27.7;19.98;44.32;44.76;6.89;11.08;watershed_flowing;водораздел сточных бассейнов
1745;adm_1745_012;Томский уезд;Тобольская провинция;уезд;2420.526;0.0;12.81;0.0;54.94;0.0;4.96;27.3;24.57;37.76;44.73;1.07;14.9;watershed_flowing;водораздел сточных бассейнов
1745;adm_1745_013;Енисейский уезд;Енисейская провинция;уезд;3985.682;0.0;14.55;0.0;69.89;0.0;0.5;15.05;2.26;23.36;25.08;0.0;11.79;watershed_flowing;водораздел сточных бассейнов
1745;adm_1745_014;Екатеринбургское ведомство;Тобольская провинция;горнозаводское ведомство;1400.788;0.0;21.41;0.0;41.4;0.0;0.0;37.19;4.68;4.59;9.28;7.52;5.78;watershed_flowing;водораздел сточных бассейнов
1745;adm_1745_015;Тобольский уезд;Тобольская провинция;уезд;3473.292;0.0;15.83;0.29;61.32;0.0;6.91;15.64;15.34;21.56;30.29;1.52;9.31;watershed_flowing;водораздел сточных бассейнов
1745;adm_1745_016;Пелымский уезд;Тобольская провинция;уезд;1540.246;0.0;13.0;0.0;72.07;0.0;3.25;11.69;4.45;8.08;11.14;1.55;7.79;watershed_flowing;водораздел сточных бассейнов
1745;adm_1745_017;Верхотурский уезд;Тобольская провинция;уезд;980.592;0.0;10.2;0.0;55.14;0.0;0.0;34.67;0.0;0.0;0.0;2.15;2.04;watershed_flowing;водораздел сточных бассейнов
1745;adm_1745_018;Туринский уезд;Тобольская провинция;уезд;631.349;0.0;34.84;0.0;35.06;0.0;0.0;30.09;5.06;22.58;22.58;3.34;6.34;watershed_flowing;водораздел сточных бассейнов
1765;adm_1765_001;Мангазейский уезд;Енисейская провинция;уезд;16878.121;71.21;11.84;0.12;12.86;0.0;1.24;2.73;16.85;41.86;58.71;0.03;2.31;coastline;береговая линия
