year,unit_id,name,unit_type,admin_parent,total_boundary_km,coast_km,river_km,lake_km,watershed_km,inherited_km,unexplained_km,coast_pct,river_pct,lake_pct,watershed_pct,inherited_pct,unexplained_pct,dominant_origin,dominant_origin_pct
1719,adm_1719_020,Неклассифицированные,АТЕ,Хлыновская провинция,377.302,0.0,187.302,0.0,190.0,0.0,0.0,0.0,49.64,0.0,50.36,0.0,0.0,watershed,50.36
1719,adm_1719_021,Котельничский уезд,уезд,Хлыновская провинция,332.972,0.0,160.0,0.0,142.972,0.0,30.0,0.0,48.05,0.0,42.94,0.0,9.01,river,48.05
1719,adm_1719_022,Шостаковский уезд,уезд,Хлыновская провинция,118.774,0.0,30.0,0.0,58.774,0.0,30.0,0.0,25.26,0.0,49.48,0.0,25.26,watershed,49.48
1719,adm_1719_023,Енисейский уезд,уезд,Енисейская провинция,8.952,0.0,0.0,0.0,8.952,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,watershed,100.0
1719,adm_1719_024,Томский уезд,уезд,Тобольская провинция,35.188,0.0,25.188,0.0,10.0,0.0,0.0,0.0,71.58,0.0,28.42,0.0,0.0,river,71.58
1719,adm_1719_025,Туринский уезд,уезд,Тобольская провинция,574.022,0.0,80.0,0.0,384.022,50.0,60.0,0.0,13.94,0.0,66.9,8.71,10.45,watershed,66.9
1719,adm_1719_026,Зона неустойчивого контроля,зона неустойчивого контроля,Тобольская провинция,2105.723,0.0,770.0,130.0,790.0,225.723,190.0,0.0,36.57,6.17,37.52,10.72,9.02,watershed,37.52
1719,adm_1719_027,Верхотурский уезд,уезд,Тобольская провинция,1835.81,0.0,510.0,0.0,910.0,105.81,310.0,0.0,27.78,0.0,49.57,5.76,16.89,watershed,49.57
1719,adm_1719_028,Пелымский уезд,уезд,Тобольская провинция,1525.695,0.0,585.695,20.0,750.0,30.0,140.0,0.0,38.39,1.31,49.16,1.97,9.18,watershed,49.16
1719,adm_1719_029,Тюменский уезд,уезд,Тобольская провинция,1700.496,0.0,600.496,50.0,650.0,180.0,220.0,0.0,35.31,2.94,38.22,10.59,12.94,watershed,38.22
1719,adm_1719_030,Кетский уезд,уезд,Тобольская провинция,1313.515,0.0,450.0,10.0,703.515,50.0,100.0,0.0,34.26,0.76,53.56,3.81,7.61,watershed,53.56
1719,adm_1719_031,Нарымский уезд,уезд,Тобольская провинция,1824.716,0.0,824.716,0.0,690.0,90.0,220.0,0.0,45.2,0.0,37.81,4.93,12.06,river,45.2
1719,adm_1719_032,Тарский уезд,АТЕ,Тобольская провинция,1201.371,0.0,90.0,0.0,670.0,381.371,60.0,0.0,7.49,0.0,55.77,31.74,4.99,watershed,55.77
1719,adm_1719_033,Тобольский уезд,уезд,Тобольская провинция,2008.712,0.0,690.0,20.0,980.0,160.0,158.712,0.0,34.35,1.0,48.79,7.97,7.9,watershed,48.79
1719,adm_1719_034,Сургутский уезд,уезд,Тобольская провинция,2651.999,0.0,660.0,50.0,1641.999,10.0,290.0,0.0,24.89,1.89,61.92,0.38,10.94,watershed,61.92
1724,adm_1724_001,Иркутская провинция,провинция,Иркутская провинция,28951.767,18880.004,3000.0,50.0,2027.573,90.0,4904.189,65.21,10.36,0.17,7.0,0.31,16.94,coastline,65.21
1724,adm_1724_002,Туруханский уезд,уезд,Енисейская провинция,17220.81,12399.624,1730.0,0.0,2550.0,0.0,541.187,72.0,10.05,0.0,14.81,0.0,3.14,coastline,72.0
1724,adm_1724_003,Берёзовский уезд,уезд,Тобольская провинция,6993.92,3582.699,820.0,50.0,2131.221,40.0,370.0,51.23,11.72,0.71,30.47,0.57,5.29,coastline,51.23
1724,adm_1724_004,Спорная зона Берёзовского / Мангазейского уездов,спорная территория,Тобольская провинция,2276.187,690.0,680.0,20.0,676.187,0.0,210.0,30.31,29.87,0.88,29.71,0.0,9.23,coastline,30.31
1724,adm_1724_005,Спорная зона Мангазейского / Берёзовского уездов,спорная территория,Тобольская провинция,1093.355,0.0,483.355,0.0,430.0,20.0,160.0,0.0,44.21,0.0,39.33,1.83,14.63,river,44.21
1724,adm_1724_006,Томский уезд,уезд,Енисейская провинция,2340.669,0.0,480.0,10.0,1200.669,350.0,300.0,0.0,20.51,0.43,51.3,14.95,12.82,watershed,51.3
1724,adm_1724_007,"Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская)",степная территория без уезда,Енисейская провинция,1956.62,0.0,680.0,0.0,936.62,110.0,230.0,0.0,34.75,0.0,47.87,5.62,11.75,watershed,47.87
1724,adm_1724_008,Нарымский уезд,уезд,Енисейская провинция,1824.716,0.0,824.716,0.0,690.0,90.0,220.0,0.0,45.2,0.0,37.81,4.93,12.06,river,45.2
1724,adm_1724_009,Южно-сибирская зона слабого контроля,особая реконструкционная территория,Тобольская провинция,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1724,adm_1724_010,"Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск",степная территория без уезда,Енисейская провинция,1761.348,0.0,1000.0,0.0,400.0,201.348,160.0,0.0,56.77,0.0,22.71,11.43,9.08,river,56.77
1724,adm_1724_011,Кузнецкий уезд,уезд,Енисейская провинция,2046.869,0.0,330.0,0.0,1216.869,340.0,160.0,0.0,16.12,0.0,59.45,16.61,7.82,watershed,59.45
1724,adm_1724_012,Тарский уезд,АТЕ,Тобольская провинция,1201.371,0.0,90.0,0.0,670.0,381.371,60.0,0.0,7.49,0.0,55.77,31.74,4.99,watershed,55.77
1724,adm_1724_013,Красноярский уезд,уезд,Енисейская провинция,2316.152,0.0,590.0,10.0,1176.152,340.0,200.0,0.0,25.47,0.43,50.78,14.68,8.64,watershed,50.78
1724,adm_1724_014,Енисейский уезд,уезд,Енисейская провинция,2098.118,0.0,538.118,0.0,1050.0,250.0,260.0,0.0,25.65,0.0,50.04,11.92,12.39,watershed,50.04
1724,adm_1724_015,Кунгурский уезд,уезд,Соль-Камская провинция,641.639,0.0,70.0,0.0,310.0,20.0,241.639,0.0,10.91,0.0,48.31,3.12,37.66,watershed,48.31
1724,adm_1724_016,Чердынский уезд,уезд,Соль-Камская провинция,1286.49,0.0,190.0,0.0,906.49,0.0,190.0,0.0,14.77,0.0,70.46,0.0,14.77,watershed,70.46
1724,adm_1724_017,Хлыновский уезд,уезд,Вятская провинция,672.542,0.0,230.0,0.0,322.542,0.0,120.0,0.0,34.2,0.0,47.96,0.0,17.84,watershed,47.96
1724,adm_1724_018,Неклассифицированные,АТЕ,Вятская провинция,30.346,0.0,0.0,0.0,30.346,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,watershed,100.0
1724,adm_1724_019,Соликамский уезд,уезд,Соль-Камская провинция,1229.21,0.0,170.0,0.0,749.21,0.0,310.0,0.0,13.83,0.0,60.95,0.0,25.22,watershed,60.95
1724,adm_1724_020,Слободской уезд,уезд,Вятская провинция,1193.818,0.0,343.818,0.0,620.0,0.0,230.0,0.0,28.8,0.0,51.93,0.0,19.27,watershed,51.93
1724,adm_1724_021,Кайгородский уезд,уезд,Вятская провинция,717.525,0.0,90.0,0.0,547.525,0.0,80.0,0.0,12.54,0.0,76.31,0.0,11.15,watershed,76.31
1724,adm_1724_022,Неклассифицированные,АТЕ,Вятская провинция,377.302,0.0,187.302,0.0,190.0,0.0,0.0,0.0,49.64,0.0,50.36,0.0,0.0,watershed,50.36
1724,adm_1724_023,Котельничский уезд,уезд,Вятская провинция,332.972,0.0,160.0,0.0,142.972,0.0,30.0,0.0,48.05,0.0,42.94,0.0,9.01,river,48.05
1724,adm_1724_024,Шостаковский уезд,уезд,Вятская провинция,118.774,0.0,30.0,0.0,58.774,0.0,30.0,0.0,25.26,0.0,49.48,0.0,25.26,watershed,49.48
1724,adm_1724_025,Енисейский уезд,уезд,Енисейская провинция,8.952,0.0,0.0,0.0,8.952,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,watershed,100.0
1724,adm_1724_026,Томский уезд,уезд,Енисейская провинция,35.188,0.0,25.188,0.0,10.0,0.0,0.0,0.0,71.58,0.0,28.42,0.0,0.0,river,71.58
1724,adm_1724_027,Туринский уезд,уезд,Тобольская провинция,574.022,0.0,80.0,0.0,384.022,50.0,60.0,0.0,13.94,0.0,66.9,8.71,10.45,watershed,66.9
1724,adm_1724_028,Зона неустойчивого контроля,зона неустойчивого контроля,Тобольская провинция,2105.723,0.0,770.0,130.0,790.0,225.723,190.0,0.0,36.57,6.17,37.52,10.72,9.02,watershed,37.52
1724,adm_1724_029,Верхотурский уезд,уезд,Тобольская провинция,1835.81,0.0,510.0,0.0,910.0,105.81,310.0,0.0,27.78,0.0,49.57,5.76,16.89,watershed,49.57
1724,adm_1724_030,Пелымский уезд,уезд,Тобольская провинция,1525.695,0.0,585.695,20.0,750.0,30.0,140.0,0.0,38.39,1.31,49.16,1.97,9.18,watershed,49.16
1724,adm_1724_031,Тобольский уезд,уезд,Тобольская провинция,2008.712,0.0,690.0,20.0,980.0,160.0,158.712,0.0,34.35,1.0,48.79,7.97,7.9,watershed,48.79
1724,adm_1724_032,Тюменский уезд,уезд,Тобольская провинция,1700.496,0.0,600.496,50.0,650.0,180.0,220.0,0.0,35.31,2.94,38.22,10.59,12.94,watershed,38.22
1724,adm_1724_033,Сургутский уезд,уезд,Тобольская провинция,2651.999,0.0,660.0,50.0,1641.999,10.0,290.0,0.0,24.89,1.89,61.92,0.38,10.94,watershed,61.92
1724,adm_1724_034,Кетский уезд,уезд,Енисейская провинция,1313.515,0.0,450.0,10.0,703.515,50.0,100.0,0.0,34.26,0.76,53.56,3.81,7.61,watershed,53.56
1727,adm_1727_001,Иркутская провинция,провинция,Иркутская провинция,28951.767,18880.004,3000.0,50.0,2027.573,90.0,4904.189,65.21,10.36,0.17,7.0,0.31,16.94,coastline,65.21
1727,adm_1727_002,Туруханский уезд,уезд,Енисейская провинция,17220.81,12399.624,1730.0,0.0,2550.0,0.0,541.187,72.0,10.05,0.0,14.81,0.0,3.14,coastline,72.0
1727,adm_1727_003,Спорная зона Берёзовского / Мангазейского уездов,спорная территория,Тобольская провинция,1093.355,0.0,483.355,0.0,430.0,20.0,160.0,0.0,44.21,0.0,39.33,1.83,14.63,river,44.21
1727,adm_1727_004,Берёзовский уезд,уезд,Тобольская провинция,6993.92,3582.699,820.0,50.0,2131.221,40.0,370.0,51.23,11.72,0.71,30.47,0.57,5.29,coastline,51.23
1727,adm_1727_005,Спорная зона Мангазейского / Берёзовского уездов,спорная территория,Тобольская провинция,2276.187,690.0,680.0,20.0,676.187,0.0,210.0,30.31,29.87,0.88,29.71,0.0,9.23,coastline,30.31
1727,adm_1727_006,Томский уезд,уезд,Тобольская провинция,2340.669,0.0,480.0,10.0,1200.669,350.0,300.0,0.0,20.51,0.43,51.3,14.95,12.82,watershed,51.3
1727,adm_1727_007,"Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская)",степная территория без уезда,Тобольская провинция,1956.62,0.0,680.0,0.0,936.62,110.0,230.0,0.0,34.75,0.0,47.87,5.62,11.75,watershed,47.87
1727,adm_1727_008,Нарымский уезд,уезд,Тобольская провинция,1824.716,0.0,824.716,0.0,690.0,90.0,220.0,0.0,45.2,0.0,37.81,4.93,12.06,river,45.2
1727,adm_1727_009,Южно-сибирская зона слабого контроля,особая реконструкционная территория,Тобольская провинция,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1727,adm_1727_010,"Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск",степная территория без уезда,Тобольская провинция,1761.348,0.0,1000.0,0.0,400.0,201.348,160.0,0.0,56.77,0.0,22.71,11.43,9.08,river,56.77
1727,adm_1727_011,Кузнецкий уезд,уезд,Тобольская провинция,2046.869,0.0,330.0,0.0,1216.869,340.0,160.0,0.0,16.12,0.0,59.45,16.61,7.82,watershed,59.45
1727,adm_1727_012,Тарский уезд,АТЕ,Тобольская провинция,1201.371,0.0,90.0,0.0,670.0,381.371,60.0,0.0,7.49,0.0,55.77,31.74,4.99,watershed,55.77
