year;unit_id;name;unit_type;admin_parent;admin_intermediate;admin_superparent;nb_total_boundary_km;nb_coast_km;nb_coast_pct;nb_river_km;nb_river_pct;nb_lake_km;nb_lake_pct;nb_watershed_flowing_km;nb_watershed_flowing_pct;nb_watershed_endo_km;nb_watershed_endo_pct;nb_watershed_km;nb_watershed_pct;nb_wetland_km;nb_wetland_pct;nb_wetland_data_available;nb_unexplained_physical_km;nb_unexplained_physical_pct;nb_unexplained_km;nb_unexplained_pct;nb_match_2021_km;nb_match_2021_pct;nb_match_mo_km;nb_match_mo_pct;nb_admin_memory_km;nb_admin_memory_pct;nb_rail_km;nb_rail_pct;nb_admin_infra_union_km;nb_admin_infra_union_pct;nb_geometric_candidate_km;nb_geometric_candidate_pct;nb_rectilinear_candidate_km;nb_rectilinear_candidate_pct;nb_dominant_physical_origin;nb_dominant_physical_origin_label;nb_dominant_physical_origin_pct;nb_dominant_origin;nb_dominant_origin_label;nb_dominant_origin_pct;nb_method_version;nb_method_note
1700;adm_1700_011;Туринский уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;574.015;0.0;0.0;70.001;12.19;0.0;0.0;394.018;68.64;0.0;0.0;394.018;68.64;;;False;109.997;19.16;109.997;19.16;0.0;0.0;125.363;21.84;125.363;21.84;11.083;1.93;129.113;22.49;60.0;10.45;20.0;3.48;watershed_flowing;водораздел сточных бассейнов;68.64;watershed_flowing;водораздел сточных бассейнов;68.64;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_012;Верхотурский уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;1753.632;0.0;0.0;679.994;38.78;20.0;1.14;703.667;40.13;0.0;0.0;703.667;40.13;;;False;349.97;19.96;349.97;19.96;35.41;2.02;170.119;9.7;205.53;11.72;46.959;2.68;230.928;13.17;259.98;14.83;30.001;1.71;watershed_flowing;водораздел сточных бассейнов;40.13;watershed_flowing;водораздел сточных бассейнов;40.13;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_013;Тюменский уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;1679.429;0.0;0.0;599.451;35.69;50.0;2.98;669.999;39.89;0.0;0.0;669.999;39.89;;;False;359.979;21.43;359.979;21.43;165.014;9.83;559.547;33.32;631.622;37.61;65.614;3.91;664.436;39.56;199.999;11.91;40.0;2.38;watershed_flowing;водораздел сточных бассейнов;39.89;watershed_flowing;водораздел сточных бассейнов;39.89;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_015;Безымянный объект №15;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;15.51;0.0;0.0;0.0;0.0;0.0;0.0;15.51;100.0;0.0;0.0;15.51;100.0;;;False;0.0;0.0;0.0;0.0;12.408;80.0;12.408;80.0;12.408;80.0;0.0;0.0;12.408;80.0;0.0;0.0;0.0;0.0;watershed_flowing;водораздел сточных бассейнов;100.0;watershed_flowing;водораздел сточных бассейнов;100.0;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_016;Красноярский уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;2650.885;0.0;0.0;719.989;27.16;10.001;0.38;1470.926;55.49;0.0;0.0;1470.926;55.49;;;False;449.969;16.97;449.969;16.97;0.0;0.0;1508.222;56.9;1508.222;56.9;0.0;0.0;1508.222;56.9;279.974;10.56;139.999;5.28;watershed_flowing;водораздел сточных бассейнов;55.49;watershed_flowing;водораздел сточных бассейнов;55.49;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_017;Томский уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;2130.047;0.0;0.0;439.997;20.66;70.0;3.29;1012.461;47.53;27.71;1.3;1040.171;48.83;;;False;579.88;27.22;579.88;27.22;232.858;10.93;573.084;26.9;619.584;29.09;38.636;1.81;645.741;30.32;459.964;21.59;30.0;1.41;watershed_flowing;водораздел сточных бассейнов;47.53;watershed_flowing;водораздел сточных бассейнов;47.53;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_018;Зона слабого контроля в Верхнем Енисее / Хакасии;особая реконструкционная территория;Вне регулярной уездной сети;Зона слабого контроля;Южно-сибирский фронтир;943.745;0.0;0.0;453.758;48.08;69.99;7.42;220.002;23.31;0.0;0.0;220.002;23.31;;;False;199.995;21.19;199.995;21.19;0.0;0.0;579.647;61.42;579.647;61.42;22.493;2.38;588.397;62.35;189.996;20.13;19.995;2.12;river;река;48.08;river;река;48.08;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_019;Тарский уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;1953.479;0.0;0.0;330.002;16.89;30.0;1.54;769.777;39.41;60.196;3.08;829.974;42.49;;;False;763.503;39.08;763.503;39.08;535.688;27.42;1000.662;51.22;1014.828;51.95;44.52;2.28;1029.039;52.68;573.511;29.36;203.513;10.42;watershed_flowing;водораздел сточных бассейнов;39.41;watershed_flowing;водораздел сточных бассейнов;39.41;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_020;Кузнецкий уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;1410.659;0.0;0.0;159.998;11.34;10.0;0.71;870.665;61.72;0.0;0.0;870.665;61.72;;;False;369.997;26.23;369.997;26.23;564.961;40.05;762.95;54.08;814.788;57.76;52.095;3.69;834.312;59.14;289.997;20.56;39.997;2.84;watershed_flowing;водораздел сточных бассейнов;61.72;watershed_flowing;водораздел сточных бассейнов;61.72;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1719;adm_1719_001;Иркутская провинция;провинция;Иркутская провинция;Иркутская провинция;Сибирская губерния;28947.841;18876.32;65.21;2999.891;10.36;49.999;0.17;2027.535;7.0;0.0;0.0;2027.535;7.0;;;False;4994.097;17.25;4994.097;17.25;0.0;0.0;440.498;1.52;440.498;1.52;0.0;0.0;440.498;1.52;979.964;3.39;309.999;1.07;coastline;береговая линия;65.21;coastline;береговая линия;65.21;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
