year,metric,before,after,delta
1821,graph_density,0.257353,0.257353,0.0
1821,cyclomatic,19,19,0
1821,bridges,0,0,0
1821,articulation_points,0,0,0
1821,avg_degree,4.117647,4.117647,0.0
1821,avg_lower_units_per_upper_ate,8.5,8.5,0.0
1821,avg_area_upper_ate_km2,2420783.839,2420783.839,0.0
1821,avg_area_middle_ate_km2,,,
1838,ate_total_count,27,27,0
1838,upper_ate_count,3,3,0
1838,middle_ate_count,0,0,0
1838,lower_ate_count,19,19,0
1838,total_area_km2,2359742.783,2359742.783,0.0
1838,avg_area_km2,124196.989,124196.989,0.0
1838,total_population,48366.0,1238926.0,1190560.0
1838,population_density,0.020496,0.525026,0.50453
1838,urban_population,,,
1838,rural_population,,,
1838,urban_share,,,
1838,rail_length_km_total,0.0,0.0,0.0
1838,rail_density_km_1000,0.0,0.0,0.0
1838,avg_adjacency,4.421053,4.421053,0.0
1838,nodes,19,19,0
1838,edges,42,42,0
1838,components,1,1,0
1838,graph_density,0.245614,0.245614,0.0
1838,cyclomatic,24,24,0
1838,bridges,0,0,0
1838,articulation_points,0,0,0
1838,avg_degree,4.421053,4.421053,0.0
1838,avg_lower_units_per_upper_ate,6.333333,6.333333,0.0
1838,avg_area_upper_ate_km2,786580.928,786580.928,0.0
1838,avg_area_middle_ate_km2,,,
1848,ate_total_count,18,18,0
1848,upper_ate_count,2,2,0
1848,middle_ate_count,0,0,0
1848,lower_ate_count,15,15,0
1848,total_area_km2,2329343.02,2329343.02,0.0
1848,avg_area_km2,155289.535,155289.535,0.0
1848,total_population,0.0,1419337.0,1419337.0
1848,population_density,,0.609329,
1848,urban_population,,,
1848,rural_population,,,
1848,urban_share,,,
1848,rail_length_km_total,0.0,0.0,0.0
1848,rail_density_km_1000,0.0,0.0,0.0
1848,avg_adjacency,4.133333,4.133333,0.0
1848,nodes,15,15,0
1848,edges,31,31,0
1848,components,1,1,0
1848,graph_density,0.295238,0.295238,0.0
1848,cyclomatic,17,17,0
1848,bridges,0,0,0
1848,articulation_points,0,0,0
1848,avg_degree,4.133333,4.133333,0.0
1848,avg_lower_units_per_upper_ate,7.5,7.5,0.0
1848,avg_area_upper_ate_km2,1164671.51,1164671.51,0.0
1848,avg_area_middle_ate_km2,,,
1897,ate_total_count,29,30,1
1897,upper_ate_count,1,4,3
1897,middle_ate_count,4,0,-4
1897,lower_ate_count,28,29,1
1897,total_area_km2,3293535.48,3293535.623,0.1430000001564622
1897,avg_area_km2,117626.267,113570.194,-4056.073000000004
1897,total_population,4727920.0,4727920.0,0.0
1897,population_density,1.435515,1.435515,0.0
1897,urban_population,360292.0,360292.0,0.0
1897,rural_population,4367628.0,4367628.0,0.0
1897,urban_share,0.076205,0.076205,0.0
1897,rail_length_km_total,2225.74,1270.66,-955.0799999999997
1897,rail_density_km_1000,0.675791,0.385804,-0.28998700000000005
1897,avg_adjacency,4.214286,4.275862,0.06157599999999963
1897,nodes,28,29,1
1897,edges,59,62,3
1897,components,1,1,0
1897,graph_density,0.156085,0.152709,-0.00337599999999999
1897,cyclomatic,32,34,2
1897,bridges,3,2,-1
1897,articulation_points,2,1,-1
1897,avg_degree,4.214286,4.275862,0.06157599999999963
1897,avg_lower_units_per_upper_ate,7.0,7.25,0.25
1897,avg_area_upper_ate_km2,823311.292,823311.329,0.03700000001117587
1897,avg_area_middle_ate_km2,823311.292,,
