year,unit_id,name,old_unit_type,new_unit_type,reason,area_km2,admin_parent,old_admin_parent
1989,adm_1989_143,Анжеро-Судженский,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,371.17,Кемеровская область,
1989,adm_1989_145,Тайгинский,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,562.6,Кемеровская область,
1989,adm_1989_17,город Горно-Алтайск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,99.33,Республика Алтай,
1989,adm_1989_244+adm_1989_54,город Славгород,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,2899.56,Алтайский край,
1989,adm_1989_268,Междуреченский,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,15.98,Кемеровская область,
1989,adm_1989_55,город Новоалтайск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,119.75,Алтайский край,
1989,adm_1989_64,Осинниковский,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,180.68,Кемеровская область,
1989,adm_1989_67,город Заринск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,85.1,Алтайский край,
1989,adm_1989_71,Новокузнецкий,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,430.38,Кемеровская область,
1989,adm_1989_72,Прокопьевский,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,232.13,Кемеровская область,
1989,adm_1989_77,Киселевский,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,297.3,Кемеровская область,
1989,adm_1989_89,Беловский,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,206.75,Кемеровская область,
1989,adm_1989_9,город Рубцовск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,87.72,Алтайский край,
1989,adm_1989_97,Ленинск-Кузнецкий,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,445.38,Кемеровская область,
2021,adm_2021_102,Беловский,район,городской округ,v117: современная муниципальная типология 2021,206.75,Кемеровская область,
2021,adm_2021_107,Полысаевский,район,городской округ,v117: современная муниципальная типология 2021,319.07,Кемеровская область,
2021,adm_2021_108,Гурьевский муниципальный округ,округ,муниципальный округ,v117: современная муниципальная типология 2021,2267.4,Кемеровская область,
2021,adm_2021_112,город Искитим,район,городской округ,v117: современная муниципальная типология 2021,62.25,Новосибирская область,
2021,adm_2021_115,Ленинск-Кузнецкий,район,городской округ,v117: современная муниципальная типология 2021,126.31,Кемеровская область,
2021,adm_2021_118,город Бердск,район,городской округ,v117: современная муниципальная типология 2021,62.87,Новосибирская область,
2021,adm_2021_125,рабочий поселок Кольцово,район,городской округ,v117: современная муниципальная типология 2021,20.1,Новосибирская область,
2021,adm_2021_126,Ленинск-Кузнецкий муниципальный округ,округ,муниципальный округ,v117: современная муниципальная типология 2021,2337.34,Кемеровская область,
2021,adm_2021_128,город Обь,район,городской округ,v117: современная муниципальная типология 2021,28.99,Новосибирская область,
2021,adm_2021_134,город Новосибирск,район,городской округ,v117: современная муниципальная типология 2021,484.34,Новосибирская область,
2021,adm_2021_136,город Омск,район,городской округ,v117: современная муниципальная типология 2021,576.43,Омская область,
2021,adm_2021_139,Промышленновский муниципальный округ,округ,муниципальный округ,v117: современная муниципальная типология 2021,3085.18,Кемеровская область,
2021,adm_2021_150,Крапивинский муниципальный округ,округ,муниципальный округ,v117: современная муниципальная типология 2021,6887.84,Кемеровская область,
2021,adm_2021_154,Курган,район,городской округ,v117: современная муниципальная типология 2021,400.83,Курганская область,
2021,adm_2021_155,Кемеровский,район,городской округ,v117: современная муниципальная типология 2021,335.37,Кемеровская область,
2021,adm_2021_163,Топкинский муниципальный округ,округ,муниципальный округ,v117: современная муниципальная типология 2021,2767.65,Кемеровская область,
2021,adm_2021_166,Березовский,район,городской округ,v117: современная муниципальная типология 2021,129.44,Кемеровская область,
2021,adm_2021_168,Юргинский,район,городской округ,v117: современная муниципальная типология 2021,67.56,Кемеровская область,
2021,adm_2021_173,Кемеровский муниципальный округ,округ,муниципальный округ,v117: современная муниципальная типология 2021,4289.95,Кемеровская область,
2021,adm_2021_18,город Горно-Алтайск,район,городской округ,v117: современная муниципальная типология 2021,99.33,Республика Алтай,
2021,adm_2021_187,город Ишим,район,городской округ,v117: современная муниципальная типология 2021,59.34,Тюменская область,
2021,adm_2021_188,Чебулинский муниципальный округ,округ,муниципальный округ,v117: современная муниципальная типология 2021,3728.18,Кемеровская область,
2021,adm_2021_189,Юргинский муниципальный округ,округ,муниципальный округ,v117: современная муниципальная типология 2021,2499.09,Кемеровская область,
2021,adm_2021_19,город Белокуриха,район,городской округ,v117: современная муниципальная типология 2021,100.4,Алтайский край,
2021,adm_2021_190,Анжеро-Судженский,район,городской округ,v117: современная муниципальная типология 2021,370.57,Кемеровская область,
2021,adm_2021_193,город Шадринск,район,городской округ,v117: современная муниципальная типология 2021,190.67,Курганская область,
2021,adm_2021_195,Тайгинский,район,городской округ,v117: современная муниципальная типология 2021,562.6,Кемеровская область,
2021,adm_2021_196,Яшкинский муниципальный округ,округ,муниципальный округ,v117: современная муниципальная типология 2021,2965.6,Кемеровская область,
2021,adm_2021_203,Тяжинский муниципальный округ,округ,муниципальный округ,v117: современная муниципальная типология 2021,3527.92,Кемеровская область,
2021,adm_2021_214,Яйский муниципальный округ,округ,муниципальный округ,v117: современная муниципальная типология 2021,2521.96,Кемеровская область,
2021,adm_2021_216,Ижморский муниципальный округ,округ,муниципальный округ,v117: современная муниципальная типология 2021,3591.95,Кемеровская область,
2021,adm_2021_219,город Ялуторовск,район,городской округ,v117: современная муниципальная типология 2021,48.52,Тюменская область,
2021,adm_2021_220,город Томск,район,городской округ,v117: современная муниципальная типология 2021,304.35,Томская область,
2021,adm_2021_227,Голышмановский,район,городской округ,v117: современная муниципальная типология 2021,4080.14,Тюменская область,
2021,adm_2021_228,ЗАТО Северск,район,городской округ,v117: современная муниципальная типология 2021,488.08,Томская область,
2021,adm_2021_229,Заводоуковский,район,городской округ,v117: современная муниципальная типология 2021,2988.52,Тюменская область,
2021,adm_2021_239,город Тюмень,район,городской округ,v117: современная муниципальная типология 2021,695.3,Тюменская область,
2021,adm_2021_247,город Кедровый,район,городской округ,v117: современная муниципальная типология 2021,1743.48,Томская область,
2021,adm_2021_257,город Тобольск,район,городской округ,v117: современная муниципальная типология 2021,239.45,Тюменская область,
2021,adm_2021_267,город Пыть-Ях,район,городской округ,v117: современная муниципальная типология 2021,6.19,Ханты-Мансийский автономный округ,
2021,adm_2021_268,город Стрежевой,район,городской округ,v117: современная муниципальная типология 2021,193.16,Томская область,
2021,adm_2021_270,город Нижневартовск,район,городской округ,v117: современная муниципальная типология 2021,27.09,Ханты-Мансийский автономный округ,
2021,adm_2021_32,город Алейск,район,городской округ,v117: современная муниципальная типология 2021,60.01,Алтайский край,
2021,adm_2021_35,город Бийск,район,городской округ,v117: современная муниципальная типология 2021,298.01,Алтайский край,
2021,adm_2021_46,город Яровое,район,городской округ,v117: современная муниципальная типология 2021,52.14,Алтайский край,
2021,adm_2021_552,город Мегион,район,городской округ,v117: современная муниципальная типология 2021,34.32,Ханты-Мансийский автономный округ,
2021,adm_2021_553,город Нефтеюганск,район,городской округ,v117: современная муниципальная типология 2021,5.46,Ханты-Мансийский автономный округ,
2021,adm_2021_554,город Ханты-Мансийск,район,городской округ,v117: современная муниципальная типология 2021,337.87,Ханты-Мансийский автономный округ,
2021,adm_2021_557,город Лангепас,район,городской округ,v117: современная муниципальная типология 2021,59.69,Ханты-Мансийский автономный округ,
2021,adm_2021_558,город Сургут,район,городской округ,v117: современная муниципальная типология 2021,340.72,Ханты-Мансийский автономный округ,
2021,adm_2021_559,г Югорск,район,городской округ,v117: современная муниципальная типология 2021,318.0,Тюменская область,
2021,adm_2021_560,город Покачи,район,городской округ,v117: современная муниципальная типология 2021,21.78,Ханты-Мансийский автономный округ,
2021,adm_2021_561,город Радужный,район,городской округ,v117: современная муниципальная типология 2021,39.93,Ханты-Мансийский автономный округ,
2021,adm_2021_563,город Нягань,район,городской округ,v117: современная муниципальная типология 2021,945.15,Ханты-Мансийский автономный округ,
2021,adm_2021_564,город Когалым,район,городской округ,v117: современная муниципальная типология 2021,202.73,Ханты-Мансийский автономный округ,
2021,adm_2021_567,город Ноябрьск,район,городской округ,v117: современная муниципальная типология 2021,192.02,Ямало-Ненецкий автономный округ,
2021,adm_2021_571,город Муравленко,район,городской округ,v117: современная муниципальная типология 2021,94.85,Ямало-Ненецкий автономный округ,
2021,adm_2021_572,город Губкинский,район,городской округ,v117: современная муниципальная типология 2021,115.47,Ямало-Ненецкий автономный округ,
2021,adm_2021_575,город Новый Уренгой,район,городской округ,v117: современная муниципальная типология 2021,233.05,Ямало-Ненецкий автономный округ,
2021,adm_2021_576,город Салехард,район,городской округ,v117: современная муниципальная типология 2021,1060.22,Ямало-Ненецкий автономный округ,
2021,adm_2021_577,город Лабытнанги,район,городской округ,v117: современная муниципальная типология 2021,138.77,Ямало-Ненецкий автономный округ,
2021,adm_2021_580,Муниципальный округ Пуровский район,округ,муниципальный округ,v117: современная муниципальная типология 2021,108518.68,Ямало-Ненецкий автономный округ,
2021,adm_2021_581,Муниципальный округ Надымский район,округ,муниципальный округ,v117: современная муниципальная типология 2021,98471.59,Ямало-Ненецкий автономный округ,
2021,adm_2021_59,город Славгород,район,городской округ,v117: современная муниципальная типология 2021,2074.96,Алтайский край,
2021,adm_2021_62,город Новоалтайск,район,городской округ,v117: современная муниципальная типология 2021,84.81,Алтайский край,
2021,adm_2021_64,город Барнаул,район,городской округ,v117: современная муниципальная типология 2021,981.52,Алтайский край,
2021,adm_2021_71,ЗАТО Сибирский,район,городской округ,v117: современная муниципальная типология 2021,5.41,Алтайский край,
2021,adm_2021_72,Калтанский,район,городской округ,v117: современная муниципальная типология 2021,109.21,Кемеровская область,
2021,adm_2021_74,Осинниковский,район,городской округ,v117: современная муниципальная типология 2021,71.47,Кемеровская область,
2021,adm_2021_77,город Заринск,район,городской округ,v117: современная муниципальная типология 2021,85.69,Алтайский край,
2021,adm_2021_80,Мысковский,район,городской округ,v117: современная муниципальная типология 2021,728.51,Кемеровская область,
2021,adm_2021_81,Новокузнецкий,район,городской округ,v117: современная муниципальная типология 2021,425.58,Кемеровская область,
2021,adm_2021_82,Прокопьевский,район,городской округ,v117: современная муниципальная типология 2021,232.13,Кемеровская область,
2021,adm_2021_88,Киселевский,район,городской округ,v117: современная муниципальная типология 2021,297.3,Кемеровская область,
2021,adm_2021_89,Краснобродский,район,городской округ,v117: современная муниципальная типология 2021,76.07,Кемеровская область,
2021,adm_2021_9,город Рубцовск,район,городской округ,v117: современная муниципальная типология 2021,87.72,Алтайский край,
2021,adm_2021_95,Прокопьевский муниципальный округ,округ,муниципальный округ,v117: современная муниципальная типология 2021,3325.53,Кемеровская область,
2021,adm_2021_98,Междуреченский,район,городской округ,v117: современная муниципальная типология 2021,7319.15,Кемеровская область,
2021,adm_2021_diss_6588403,Муниципальный округ Тазовский район,округ,муниципальный округ,v117: современная муниципальная типология 2021,132974.56,Ямало-Ненецкий автономный округ,
