year,source_id,source_name,source_parent,target_id,target_name,target_parent,boundary_km,relation,contact_method,is_bridge
1805,adm_1805_013,Тарский уезд,Тобольская губерния,adm_1805_018,Каинский уезд,Томская губерния,271.659,cross_parent,shared_boundary,False
1805,adm_1805_013,Тарский уезд,Тобольская губерния,adm_1805_019,Омский уезд,Тобольская губерния,378.967,same_parent,shared_boundary,False
1805,adm_1805_013,Тарский уезд,Тобольская губерния,adm_1805_016,Тобольский уезд,Тобольская губерния,295.942,same_parent,shared_boundary,False
1805,adm_1805_015,Томский уезд,Томская губерния,adm_1805_018,Каинский уезд,Томская губерния,238.542,same_parent,shared_boundary,False
1805,adm_1805_011,Туринский уезд,Тобольская губерния,adm_1805_016,Тобольский уезд,Тобольская губерния,397.941,same_parent,shared_boundary,False
1805,adm_1805_001,Туруханский уезд,Томская губерния,adm_1805_004,Березовский уезд,Тобольская губерния,624.826,cross_parent,shared_boundary,False
1805,adm_1805_001,Туруханский уезд,Томская губерния,adm_1805_021,Енисейский уезд,Томская губерния,633.056,same_parent,shared_boundary,False
1805,adm_1805_001,Туруханский уезд,Томская губерния,adm_1805_020,Енисейский уезд,Томская губерния,25.411,same_parent,shared_boundary,False
1805,adm_1805_001,Туруханский уезд,Томская губерния,adm_1805_014,Красноярский уезд,Томская губерния,1008.888,same_parent,shared_boundary,False
1805,adm_1805_001,Туруханский уезд,Томская губерния,adm_1805_012,Нарымский уезд,Томская губерния,688.136,same_parent,shared_boundary,False
1805,adm_1805_008,Тюменский уезд,Тобольская губерния,adm_1805_016,Тобольский уезд,Тобольская губерния,91.743,same_parent,shared_boundary,False
1805,adm_1805_008,Тюменский уезд,Тобольская губерния,adm_1805_011,Туринский уезд,Тобольская губерния,140.624,same_parent,shared_boundary,False
1805,adm_1805_008,Тюменский уезд,Тобольская губерния,adm_1805_010,Ялуторовский уезд,Тобольская губерния,187.525,same_parent,shared_boundary,False
1805,adm_1805_010,Ялуторовский уезд,Тобольская губерния,adm_1805_016,Тобольский уезд,Тобольская губерния,73.706,same_parent,shared_boundary,False
1821,adm_1821_004,Березовский уезд,Тобольская губерния,adm_1821_012,Нарымский уезд,Томская губерния,226.599,cross_parent,shared_boundary,False
1821,adm_1821_004,Березовский уезд,Тобольская губерния,adm_1821_013,Тарский уезд,Тобольская губерния,508.605,same_parent,shared_boundary,False
1821,adm_1821_004,Березовский уезд,Тобольская губерния,adm_1821_015,Тобольский уезд,Тобольская губерния,384.543,same_parent,shared_boundary,False
1821,adm_1821_004,Березовский уезд,Тобольская губерния,adm_1821_011,Туринский уезд,Тобольская губерния,293.169,same_parent,shared_boundary,False
1821,adm_1821_005,Бийский уезд,Томская губерния,adm_1821_016,Каинский уезд,Томская губерния,373.109,same_parent,shared_boundary,False
1821,adm_1821_005,Бийский уезд,Томская губерния,adm_1821_006,Кузнецкий уезд,Томская губерния,550.159,same_parent,shared_boundary,False
1821,adm_1821_005,Бийский уезд,Томская губерния,adm_1821_017,Омский уезд,Тобольская губерния,132.474,cross_parent,shared_boundary,False
1821,adm_1821_005,Бийский уезд,Томская губерния,adm_1821_014,Томский уезд,Томская губерния,363.356,same_parent,shared_boundary,False
1821,adm_1821_018,Енисейский уезд,Томская губерния,adm_1821_024,Красноярский уезд,Томская губерния,655.657,same_parent,shared_boundary,False
1821,adm_1821_009,Ишимский узед,Тобольская губерния,adm_1821_017,Омский уезд,Тобольская губерния,305.543,same_parent,shared_boundary,False
1821,adm_1821_009,Ишимский узед,Тобольская губерния,adm_1821_013,Тарский уезд,Тобольская губерния,49.224,same_parent,shared_boundary,False
1821,adm_1821_009,Ишимский узед,Тобольская губерния,adm_1821_015,Тобольский уезд,Тобольская губерния,107.168,same_parent,shared_boundary,False
1821,adm_1821_009,Ишимский узед,Тобольская губерния,adm_1821_010,Ялуторовский уезд,Тобольская губерния,129.413,same_parent,shared_boundary,False
