year,unit_id_a,name_a,unit_type_a,unit_id_b,name_b,unit_type_b,shared_boundary_km
1959,adm_1959_25,Волчихинский район (сельское население),район,adm_1959_26,Новичихинский район (сельское население),район,72.298
1959,adm_1959_25,Волчихинский район (сельское население),район,adm_1959_30,Ключевский район (сельское население),район,33.268
1959,adm_1959_25,Волчихинский район (сельское население),район,adm_1959_39,Родинский район (сельское население),район,151.313
1959,adm_1959_25,Волчихинский район (сельское население),район,adm_1959_38,Романовский район (сельское население),район,22.044
1959,adm_1959_26,Новичихинский район (сельское население),район,adm_1959_34,Шипуновский район (сельское население),район,63.015
1959,adm_1959_26,Новичихинский район (сельское население),район,adm_1959_38,Романовский район (сельское население),район,24.07
1959,adm_1959_26,Новичихинский район (сельское население),район,adm_1959_41,Мамонтовский район (сельское население),район,43.637
1959,adm_1959_27,Грязнухинский район (сельсное население),район,adm_1959_33,Старобардинский район (сельское население),район,22.205
1959,adm_1959_27,Грязнухинский район (сельсное население),район,adm_1959_28,Смоленский район,район,100.929
1959,adm_1959_27,Грязнухинский район (сельсное население),район,adm_1959_31,Сростинский район (сельское население),район,108.789
1959,adm_1959_28,Смоленский район,район,adm_1959_29,Быстроистокский район,район,117.067
1959,adm_1959_28,Смоленский район,район,adm_1959_40,Зональный район (сельское население),район,46.099
1959,adm_1959_28,Смоленский район,район,adm_1959_31,Сростинский район (сельское население),район,19.257
1959,adm_1959_29,Быстроистокский район,район,adm_1959_36,Усть-Пристанский район (сельское население),район,34.445
1959,adm_1959_29,Быстроистокский район,район,adm_1959_40,Зональный район (сельское население),район,106.234
1959,adm_1959_29,Быстроистокский район,район,adm_1959_50,Троицкий район,район,43.592
1959,adm_1959_3,Третьяковский район (сельское население),район,adm_1959_7,Змеиногорский район *,район,139.385
1959,adm_1959_3,Третьяковский район (сельское население),район,adm_1959_5,Локтевский район,район,85.059
1959,adm_1959_30,Ключевский район (сельское население),район,adm_1959_39,Родинский район (сельское население),район,83.622
1959,adm_1959_30,Ключевский район (сельское население),район,adm_1959_37,Кулундинский район,район,129.386
1959,adm_1959_31,Сростинский район (сельское население),район,adm_1959_33,Старобардинский район (сельское население),район,111.856
1959,adm_1959_31,Сростинский район (сельское население),район,adm_1959_40,Зональный район (сельское население),район,32.299
1959,adm_1959_31,Сростинский район (сельское население),район,adm_1959_42,Марушинский район (сельское население),район,105.403
1959,adm_1959_32,Алейский район,район,adm_1959_34,Шипуновский район (сельское население),район,132.53
1959,adm_1959_32,Алейский район,район,adm_1959_36,Усть-Пристанский район (сельское население),район,29.875
1959,adm_1959_32,Алейский район,район,adm_1959_43,Топчихинский район (сельское население),район,49.959
1959,adm_1959_32,Алейский район,район,adm_1959_47,Парфеновский район (сельское население),район,102.873
1959,adm_1959_33,Старобардинский район (сельское население),район,adm_1959_35,Турочакский район (сельское население),район,110.817
1959,adm_1959_33,Старобардинский район (сельское население),район,adm_1959_42,Марушинский район (сельское население),район,2.069
1959,adm_1959_33,Старобардинский район (сельское население),район,adm_1959_45,Солтонский район (сельское население),район,97.333
1959,adm_1959_34,Шипуновский район (сельское население),район,adm_1959_47,Парфеновский район (сельское население),район,31.011
1959,adm_1959_34,Шипуновский район (сельское население),район,adm_1959_41,Мамонтовский район (сельское население),район,72.091
1959,adm_1959_35,Турочакский район (сельское население),район,adm_1959_8,Улаганский район (сельское население),район,172.036
1959,adm_1959_35,Турочакский район (сельское население),район,adm_1959_45,Солтонский район (сельское население),район,84.02
1959,adm_1959_35,Турочакский район (сельское население),район,adm_1959_59,Таштагольский район,район,271.811
1959,adm_1959_36,Усть-Пристанский район (сельское население),район,adm_1959_43,Топчихинский район (сельское население),район,159.666
1959,adm_1959_36,Усть-Пристанский район (сельское население),район,adm_1959_50,Троицкий район,район,44.064
1959,adm_1959_37,Кулундинский район,район,adm_1959_39,Родинский район (сельское население),район,8.959
1959,adm_1959_37,Кулундинский район,район,adm_1959_48,Благовещенский район (сельское население),район,58.2
1959,adm_1959_37,Кулундинский район,район,adm_1959_44,Табунский район (сельское население),район,138.32
1959,adm_1959_38,Романовский район (сельское население),район,adm_1959_39,Родинский район (сельское население),район,111.687
1959,adm_1959_38,Романовский район (сельское население),район,adm_1959_41,Мамонтовский район (сельское население),район,99.669
1959,adm_1959_38,Романовский район (сельское население),район,adm_1959_46,Завьяловский район (сельское население),район,96.529
1959,adm_1959_39,Родинский район (сельское население),район,adm_1959_48,Благовещенский район (сельское население),район,177.684
1959,adm_1959_39,Родинский район (сельское население),район,adm_1959_46,Завьяловский район (сельское население),район,57.693
1959,adm_1959_4,Онгудайский район (сельское население),район,adm_1959_8,Улаганский район (сельское население),район,110.648
1959,adm_1959_4,Онгудайский район (сельское население),район,adm_1959_9,Элекмонарский район (сельское население),район,171.735
1959,adm_1959_4,Онгудайский район (сельское население),район,adm_1959_6,Усть-Канский район (сельское население),район,72.91
1959,adm_1959_40,Зональный район (сельское население),район,adm_1959_50,Троицкий район,район,145.809
1959,adm_1959_40,Зональный район (сельское население),район,adm_1959_42,Марушинский район (сельское население),район,164.387
1959,adm_1959_41,Мамонтовский район (сельское население),район,adm_1959_47,Парфеновский район (сельское население),район,16.733
1959,adm_1959_41,Мамонтовский район (сельское население),район,adm_1959_46,Завьяловский район (сельское население),район,27.535
1959,adm_1959_41,Мамонтовский район (сельское население),район,adm_1959_52,Ребрихинский район (сельское население),район,75.069
1959,adm_1959_41,Мамонтовский район (сельское население),район,adm_1959_51,Шарчинский район (сельское население),район,76.853
1959,adm_1959_42,Марушинский район (сельское население),район,adm_1959_50,Троицкий район,район,29.944
1959,adm_1959_42,Марушинский район (сельское население),район,adm_1959_45,Солтонский район (сельское население),район,51.48
1959,adm_1959_43,Топчихинский район (сельское население),район,adm_1959_47,Парфеновский район (сельское население),район,102.433
1959,adm_1959_43,Топчихинский район (сельское население),район,adm_1959_50,Троицкий район,район,42.097
1959,adm_1959_43,Топчихинский район (сельское население),район,adm_1959_49,Калманский район (сельское население),район,200.549
1959,adm_1959_43,Топчихинский район (сельское население),район,adm_1959_61,Павловский район,район,17.006
1959,adm_1959_44,Табунский район (сельское население),район,adm_1959_48,Благовещенский район (сельское население),район,64.431
1959,adm_1959_44,Табунский район (сельское население),район,adm_1959_56,Знаменский район (сельское население),район,54.725
1959,adm_1959_44,Табунский район (сельское население),район,adm_1959_54,Славгородский район * (сельское население),район,159.416
1959,adm_1959_45,Солтонский район (сельское население),район,adm_1959_59,Таштагольский район,район,83.52
1959,adm_1959_45,Солтонский район (сельское население),район,adm_1959_57,Ельцовский район (сельское население),район,73.536
1959,adm_1959_45,Солтонский район (сельское население),район,adm_1959_64,Кузедеевский район,район,50.505
1959,adm_1959_46,Завьяловский район (сельское население),район,adm_1959_48,Благовещенский район (сельское население),район,39.465
1959,adm_1959_46,Завьяловский район (сельское население),район,adm_1959_51,Шарчинский район (сельское население),район,23.041
1959,adm_1959_46,Завьяловский район (сельское население),район,adm_1959_60,Тюменцевский район (сельское население),район,25.049
1959,adm_1959_46,Завьяловский район (сельское население),район,adm_1959_63,Баевский район (сельское население),район,106.906
1959,adm_1959_47,Парфеновский район (сельское население),район,adm_1959_61,Павловский район,район,70.108
1959,adm_1959_47,Парфеновский район (сельское население),район,adm_1959_52,Ребрихинский район (сельское население),район,125.109
1959,adm_1959_48,Благовещенский район (сельское население),район,adm_1959_56,Знаменский район (сельское население),район,49.407
1959,adm_1959_48,Благовещенский район (сельское население),район,adm_1959_58,Суетский район (сельское население),район,95.592
1959,adm_1959_48,Благовещенский район (сельское население),район,adm_1959_63,Баевский район (сельское население),район,41.701
1959,adm_1959_49,Калманский район (сельское население),район,adm_1959_50,Троицкий район,район,23.99
1959,adm_1959_49,Калманский район (сельское население),район,adm_1959_62,Косихинский район (сельское население),район,61.143
1959,adm_1959_49,Калманский район (сельское население),район,adm_1959_61,Павловский район,район,114.904
1959,adm_1959_5,Локтевский район,район,adm_1959_7,Змеиногорский район *,район,74.117
1959,adm_1959_50,Троицкий район,район,adm_1959_62,Косихинский район (сельское население),район,153.892
1959,adm_1959_50,Троицкий район,район,adm_1959_68,Кытмановский район (сельское население),район,47.299
1959,adm_1959_51,Шарчинский район (сельское население),район,adm_1959_52,Ребрихинский район (сельское население),район,93.963
1959,adm_1959_51,Шарчинский район (сельское население),район,adm_1959_60,Тюменцевский район (сельское население),район,121.043
1959,adm_1959_51,Шарчинский район (сельское население),район,adm_1959_66,Шелаболихинский район (сельское население),район,38.609
