year,unit_id,name,unit_type,area_km2,reason,special_status_code
1918,urban_1918_15,Тобольск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_16,Томск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_17,Тюкалинск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_18,Тюмень,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_19,Ялуторовск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,adm_1923_27,Неясная принадлежность территории на момент 1923 г. между Томской и Ново-Николаевской губернией,губерния,2699.71,uncertain_or_disputed_by_name,
1923,adm_1923_28,Спорная территория между Ново-Николаевской и Омской губерниями,губерния,6044.777,uncertain_or_disputed_by_name,
1923,adm_1923_29,Спорная территория между Ново-Николаевской и Омской губерниями,губерния,2460.233,uncertain_or_disputed_by_name,
1923,urban_1923_1,Барабинск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_2,Барнаул,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_3,Бийск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_4,Ишим,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_5,Каинск / Куйбышев,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_6,Камень-на-Оби,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_7,Кузнецк / Сталинск / Новокузнецк,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_8,Мариинск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_9,Ново-Николаевск / Новосибирск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_10,Омск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_11,Славгород,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_12,Тара,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_13,Татарск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_14,Тобольск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_15,Томск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_16,Тюкалинск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_17,Тюмень,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_18,Щегловск / Кемерово,спорный город,28.238,micro_or_city_polygon_area_lt_50_km2,
1923,urban_1923_19,Ялуторовск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
