year,unit_id,name,unit_type,admin_parent,population,urban_pop,rural_pop,urban_share,area_km2,density,rail_length_km,rail_density_km_1000,rail_segments_count,population_source_year,population_source_unit,population_basis,population_quality,population_method,population_note,population_source,population_reconstruction_version,population_recalc_note,urban_pop_method,urban_pop_source,merged_city_names_v114
1724,adm_1724_007,"Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская)",степная территория без уезда,Енисейская провинция,,,,,176416.566,,0,0,0,,,,,,,,,,,,
1724,adm_1724_008,Нарымский уезд,уезд,Енисейская провинция,,,,,117865.933,,0,0,0,,,,,,,,,,,,
1724,adm_1724_009,Южно-сибирская зона слабого контроля,особая реконструкционная территория,Тобольская провинция,,,,,0.0,,0,0,0,,,,,,,,,,,,
1724,adm_1724_010,"Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск",степная территория без уезда,Енисейская провинция,,,,,148988.33,,0,0,0,,,,,,,,,,,,
1724,adm_1724_011,Кузнецкий уезд,уезд,Енисейская провинция,,,,,178084.487,,0,0,0,,,,,,,,,,,,
1724,adm_1724_012,Тарский уезд,АТЕ,Тобольская провинция,,,,,90996.544,,0,0,0,,,,,,,,,,,,
1724,adm_1724_013,Красноярский уезд,уезд,Енисейская провинция,,,,,228393.281,,0,0,0,,,,,,,,,,,,
1724,adm_1724_014,Енисейский уезд,уезд,Енисейская провинция,,,,,219775.479,,0,0,0,,,,,,,,,,,,
1724,adm_1724_015,Кунгурский уезд,уезд,Соль-Камская провинция,,,,,23095.628,,0,0,0,,,,,,,,,,,,
1724,adm_1724_016,Чердынский уезд,уезд,Соль-Камская провинция,,,,,63255.63,,0,0,0,,,,,,,,,,,,
1724,adm_1724_017,Хлыновский уезд,уезд,Вятская провинция,,,,,16932.687,,0,0,0,,,,,,,,,,,,
1724,adm_1724_018,Неклассифицированные,АТЕ,Вятская провинция,,,,,43.401,,0,0,0,,,,,,,,,,,,
1724,adm_1724_019,Соликамский уезд,уезд,Соль-Камская провинция,,,,,67876.084,,0,0,0,,,,,,,,,,,,
1724,adm_1724_020,Слободской уезд,уезд,Вятская провинция,,,,,42373.553,,0,0,0,,,,,,,,,,,,
1724,adm_1724_021,Кайгородский уезд,уезд,Вятская провинция,,,,,18420.676,,0,0,0,,,,,,,,,,,,
1724,adm_1724_022,Неклассифицированные,АТЕ,Вятская провинция,,,,,3609.564,,0,0,0,,,,,,,,,,,,
1724,adm_1724_023,Котельничский уезд,уезд,Вятская провинция,,,,,4261.02,,0,0,0,,,,,,,,,,,,
1724,adm_1724_024,Шостаковский уезд,уезд,Вятская провинция,,,,,900.242,,0,0,0,,,,,,,,,,,,
1724,adm_1724_025,Енисейский уезд,уезд,Енисейская провинция,,,,,0.003,,0,0,0,,,,,,,,,,,,
1724,adm_1724_026,Томский уезд,уезд,Енисейская провинция,,,,,32.364,,0,0,0,,,,,,,,,,,,
1724,adm_1724_027,Туринский уезд,уезд,Тобольская провинция,,,,,18085.892,,0,0,0,,,,,,,,,,,,
1724,adm_1724_028,Зона неустойчивого контроля,зона неустойчивого контроля,Тобольская провинция,,,,,89111.693,,0,0,0,,,,,,,,,,,,
1724,adm_1724_029,Верхотурский уезд,уезд,Тобольская провинция,,,,,90423.943,,0,0,0,,,,,,,,,,,,
